Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
"Nippon Electric Glass Co., Ltd.",Glass,"5,275 (consolidated as of June 2014)",http://www.neg.co.jp/en/,Yuzo Izutsu ( Chairman of the Board ) Masayuki Arioka ( President ),"US$ 2.4 billion ( FY 2013)
                   ( ¥ 252.54 billion) (FY 2013)","(December 1, 1949 ; 69 years ago ( 1949-12-01 ) )","7-1, Seiran 2-chome, Ōtsu , Shiga 520-8639, Japan"
"Nippon Sharyo, Ltd.",Railways,"1,850 (September 2018)","http://www.n-sharyo.co.jp,http://www.nipponsharyousa.com","Tsutomu Morimura (President & CEO), Mikio Tsuge (Senior Managing Director of Nippon Sharyo, Ltd and Chairman of Nippon Sharyo USA, Inc.)",,"Japan, September 1896","Nagoya , Japan"
Nidec Corporation ,Electronic components,"Nidec Corporation: 2,392 (as of March 31, 2017)
                 Consolidated: 107,062 (as of March 31, 2017)",http://www.nidec.com/en-Global/,Shigenobu Nagamori (CEO),"US$11.15 billion ( FY 2017)
                  ( JPY 1199.3 billion) (FY 2017)","July 23, 1973 ; 46 years ago ( 1973-07-23 )","338 Kuzetonoshiro-cho, Minami-ku , Kyoto 601-8205, Japan"
Nihon Falcom,Video games,62 (2019 [1] ),http://falcom.com,Founder Masayuki Kato President Toshihiro Kondo,,March 1981 ; 38 years ago ( 1981-03 ),"Tachikawa , Japan"
"Nihon Dempa Kogyo Co., Ltd.",Electronics,"3,419 (consolidated, as of September 30, 2018)",https://www.ndk.com/en/index.html,"Toshiaki Takeuchi ( Chairman of the Board , President and CEO )",JPY 42.4 billion ( FY 2018) ( US$ 386 million),April 1948 ; 71 years ago ( 1948-04 ),"Sasazuka , Shibuya-ku, Tokyo 151-8569 , Japan"
Nichirei Corporation,"Processed foods , marine products, meat and poultry products, logistics, real estate , biosciences","12,680 (2013)",http://www.nichirei.co.jp/english/,Mitsudo Urano ( Chairman ) Toshiaki Murai ( President ),,"24 December 1942, as Teikoku Marine Products Control Company","Chūō , Tokyo , Japan"
"Nintendo Co., Ltd.",Video game industry Consumer electronics,"5,944 [2] (2019)",https://www.nintendo.com/,Representative directors Shuntaro Furukawa ( president ) Shigeru Miyamoto (fellow),¥ 1.201 trillion [1] (2019),23 September 1889 ; 130 years ago ( 1889-09-23 ),"Kyoto , Japan"
Nikon Corporation,Consumer electronics,"25,729  (March 31, 2016) [2]",http://www.nikon.com,Makoto Kimura ( Chairman ) Kazuo Ushida ( President ),¥ 708.7 billion (FY2019) [1],"July 25, 1917 ; 102 years ago ( 1917-07-25 ) Tokyo , Japan","Shinagawa, Tokyo , Japan"
Nisshin Seifun Group Inc.,Food Manufacturing,,"http://www.nisshin.com/,https://www.wikidata.org/wiki/Q7041111?uselang=en#P856",Chairman Osamu Shoda President Hiroshi Oeda,,Japan (1900 ( 1900 ) ),"25, Kanda-Nishiki-cho 1-chome, Chiyoda-ku, Tokyo, Japan"
Nihon Kohden Corporation,Medical equipment,"4,616 (as of March 31, 2015)",http://www.nihonkohden.com/index.html,Fumio Suzuki ( Chairman and CEO ) Hirokazu Ogino ( President and COO ),"JPY 160.8 billion ( FY 2014)
                        ( US$ 1.35 billion) (FY 2014)","Tokyo (August 7, 1951 ; 68 years ago ( 1951-08-07 ) )","Nishiochiai, Shinjuku-ku , Tokyo 161-8560, Japan"
Nichii Gakkan,Medical services,"20,393 (Employees) 
74,701 (Sub-contract Employees)",http://www.nichiigakkan.co.jp/,"Akihiko Terada , President, Chairman of the Board, President & Chairman of Subsidiaries; [1] Koichi Terada, Director; [2] Kazuyoshi Yaji, Vice President, Representative Director [3]",,"Tokyo , Japan (1968)","2-9 Kanda-Surugadai , Chiyoda Ward , Tokyo 101-8688, Japan"
"NHK Spring Co., Ltd.",Automotive,"21,215 (consolidated as of 31 March 2013)",http://www.nhkspg.co.jp/index_e.html,Kenji Sasaki ( Chairman of the Board ) Kazumi Tamamura ( President and CEO ),"US$ 5.53 billion ( FY 2013)
                   ( ¥ 569.71 billion) (FY 2013)",(September 1939 ; 80 years ago ( 1939-09 ) ),"3-10, Fukuura, Kanazawa-ku , Yokohama , Japan"
Nichicon Corporation,Electronics,"5,792 (consolidated, as of March 31, 2014)",http://www.nichicon.co.jp/english/index.html,Ippei Takeda ( Chairman and CEO ) Shigeo Yoshida ( President and COO ),"JPY 107.2 billion ( FY 2014)
                        ( US$ 893.3 million) (FY 2014)","(August 1, 1950 ; 69 years ago ( 1950-08-01 ) )","Nakagyo-ku , Kyoto 604-0845, Japan"
"NGK Spark Plug Co., Ltd.","Automotive , Technical Ceramics",,https://www.ngkntk.co.jp,Takeshi Kawai (President and CEO),,26 October 1936 ( 1936-10-26 ),"Nagoya , Japan"
"Nexon Co., Ltd.",Video games,"6,441 (Dec. 2018)",http://company.nexon.com/,Owen Mahoney ( CEO ) [1] Shiro Uemura ( CFO ) [2] Ji Won Park (COO),¥253.7billion (2018) [3],"1994 Seoul , South Korea","Tokyo , Japan"
"The Nanto Bank, Ltd.",Financial Services,"2,697 (as of March 31, 2015)",http://www.nantobank.co.jp/annual/index.htm,Yasuo Ueno ( President ),¥ 81.869 billion (2015),"June 1, 1934","Nara City , Nara , Japan"
NEC Corporation,Information technology Electronics,"109,390 (2019) [1]",http://www.nec.com/,Nobuhiro Endo ( Chairman ) Takashi Niino ( President ),¥ 2.91 trillion (2019) [1],"July 17, 1899 ; 120 years ago ( 1899-07-17 ) Tokyo , Japan","5-7-2, Shiba , Minato, Tokyo , Japan"
Nachi-Fujikoshi Corp.,Electric machinery / Robotics / Hydraulic machinery / Advanced materials,"6,072 (consolidated as of January 16, 2014)",http://www.nachi-fujikoshi.co.jp/eng/index.html,Hiroo Honma ( President and CEO ),"US$ 1.71 billion ( FY 2013)
                   ( ¥ 175.69 billion) (FY 2013)","Toyama , Japan (December 21, 1928 ; 90 years ago ( 1928-12-21 ) )","1-1-1 Fujikoshi-Honmachi, Toyama 930-8511, Japan"
Nabtesco Corporation,Machinery,"7,713 (consolidated, December 31, 2018)",https://www.nabtesco.com/en/,Katsuhiro Teramoto ( President and CEO ),"JPY 294.6 billion
                      ( US$ 2.7 billion) ( FY 2017)","September 29, 2003 ; 16 years ago ( 2003-09-29 )","Hirakawachō , Chiyoda-ku, Tokyo 102-0093 , Japan"
MS&AD Insurance Group Holdings,Insurance,,http://www.ms-ad-hd.com/en/,Yasuyoshi Karasawa ( President & CEO ),,2008,"Tokyo , Japan"
"Ryohin Keikaku Co., Ltd.","Manufacturing, retail, cafe",,"http://muji.net,http://muji.com",Masaaki Kanai ( Chairman ) Satoru Matsuzaki ( President ),,1980,"Toshima-ku , Tokyo , Japan"
"NGK Insulators, Ltd. ",Glass and Ceramics,"3,272 [1]",http://www.ngk.co.jp/english/index.html,"Shun Matsushita, President and CEO Masaharu Shibata, Chairman [1]","¥ 119,976 million (2010)",5 May 1919 ( 1919-05-05 ),"Nagoya , Japan"
"MOS Food Services, Inc.",Foodservice,"1,375 (as of March 2016) [1]",https://www.mos.co.jp/global/,"Atsushi Sakurada, ( CEO and President )","$ 663 million ( FY 2012)
                  ( ¥ 62.371 billion) (FY 2012)","Tokyo , Japan (July 21, 1972 ; 47 years ago ( 1972-07-21 ) )","ThinkPark Tower 2-1-1 Osaki , Shinagawa-ku , Tokyo, 141-6029 Japan"
Morozoff Limited ,Food industry,"749 (as of September 31, 2012)",http://www.morozoff.co.jp,Yuichi Kawakita ( Chairman ) Shinji Yamaguchi ( President ),"US$ 271.48 million ( FY 2013)
              ( ¥ 27.92 billion) (FY 2013)","Kobe , Japan (August 8, 1931 ( 1931-08-08 ) )","5-3, Nishi, Koyo-cho, Higashinada-ku , Kobe , Hyōgo Prefecture 658-0033, Japan"
"Morinaga & Co., Ltd.",Food,"3,170 (consolidated, as of March 31, 2018)",https://www.morinaga.co.jp/company/english/,Toru Arai ( President ),"JPY 205 billion ( FY 2017)
                      ( US$ 1.9 billion) (FY 2017)","August 15, 1899 ; 120 years ago ( 1899-08-15 ) as Morinaga’s Western Confectionary Shop","Shiba, Minato, Tokyo , 108-8403 , Japan"
"MonotaRO Co.,Ltd.","Internet, online retailing",,"http://www.monotaro.com,http://ihc.monotaro.com/,http://www.monotaro.sg",Masaya Suzuki ( President ),¥ 34.556 billion (FY2013) [1],"October 19, 2000 ( 2000-10-19 )","Amagasaki , Hyogo , Japan"
"Murata Manufacturing Company, Ltd. ",Electronic components,"59,978 (consolidated, as of March 31, 2017)",http://www.murata.com/index.html,"Tsuneo Murata, ( CEO and President )","¥ 1,371.8 billion (FY 2017)","Kyoto , Japan (October 1944 ( 1944-10 ) )","10-1, Higashikotari 1-chome, Nagaokakyo-shi , Kyoto Prefecture 617-8555, Japan"
"Nankai Electric Railway Co., Ltd.",Ground transport,"2,734 (March 31, 2012)",http://howto-osaka.com/en/top.html,,"¥181,869 million (March 2012) [* 1]","Kudoyama , Wakayama Prefecture , Japan (March 28, 1925 ( 1925-03-28 ) , Koyasan Electric Railway Co., Ltd.)","Nankai Namba Building, Shikitsu-higashi, Naniwa-ku, Osaka , Japan Registered office: Nankai Kaikan Building, Namba, Chūō-ku, Osaka , Japan"
"Monex Group, Inc.",Financial Services,,http://www.monexgroup.jp/,,,5 April 1999 [1],"Tokyo , Japan"
"MODEC, Inc.",Machinery Shipbuilding,"4,241 (consolidated, June 30, 2018)",https://www.modec.com/index.html,Yuji Kozai ( President and CEO ),"JPY 221.9 billion ( FY 2018)
                      ( US$ 2 billion) (FY 2018)","December 26, 1968 ; 50 years ago ( 1968-12-26 )","Nihonbashi , Chuo-ku, Tokyo 103-0027 , Japan"
Mochida Pharmaceutical,Pharmaceuticals,"1,762 (2006)",http://www.mochida.co.jp/,Naoyuki Mochida ( CEO ),,1945,"Tokyo , Japan"
"Mizuho Financial Group, Inc.","Banking, financial services","56,375 (2017)",http://mizuho-fg.com,Tatsufumi Sakai ( President & CEO ) [1],¥ 1.450 trillion (2017),2001 ; 18 years ago ( 2001 ),"Marunouchi , Chiyoda, Tokyo , Japan"
"Mitsui O.S.K. Lines, Ltd. ",Transport,"9,626",http://www.mol.co.jp/menu-e.shtml,,,1884,"Toranomon , Minato , Tokyo ."
"Mitsui Sumitomo Insurance Group Holdings, Inc.",Insurance,"20,237 (2008)",http://ms-ad-hd.com/en,"Yoshiaki Shin, Chairman Toshiaki Egashira, President","JP¥ 2,137,603 million ( FY 2007)","October 21, 1918 (as Taishō Marine and Fire Insurance Co.) October 2001 (merger of Mitsui Marine & Fire Insurance Co. and The Sumitomo Marine & Fire Insurance)","Tokyo , Japan"
MIZUNO,Sports equipment,"5,368 (2013)",https://corp.mizuno.com/en,Aikito Mizuno (President) [2],"JPY 148,703,000,000 (2010) [3]","April 1, 1906 ; 113 years ago ( 1906-04-01 ) [1]","Suminoe , Osaka , Japan"
Mitsui E&S,Machinery Shipbuilding,"13,171 (consolidated, as of March 31, 2017)",https://www.mes.co.jp/english/,Takao Tanaka ( President and CEO ),"JPY 731 billion ( FY 2016)
                      ( US$ 6.6 billion) (FY 2016)","November 17, 1917 ; 101 years ago ( 1917-11-17 )","Tsukiji , Chuo-ku, Tokyo 104-8439 , Japan"
"Mitsumi Electric Co., Ltd.",Electronics,"36,417 (consolidated, as of April 1, 2015)",http://www.mitsumi.co.jp/index_e.html,Itsuo Moribe ( Chairman ) Shigeru Moribe ( President and CEO ),JPY 157.3 billion ( FY 2013) ( US$ 1.54 billion) (FY 2013),January 1954 ; 65 years ago ( 1954-01 ),"Tsurumaki, Tama-shi , Tokyo , 206-8567, Japan"
"Mitsui Chemicals, Inc.",Chemicals,"13,447 (consolidated as of March 31, 2016)",http://www.mitsuichem.com/index.htm,Tsutomu Tannowa ( President and CEO ),"JPY 1,343 billion ( FY 2015)
                        ( US$ 11.9 billion) (FY 2015)","(October 1, 1997 ; 22 years ago ( 1997-10-01 ) )","Shiodome City Center, Higashi-Shimbashi, Minato-ku, Tokyo 105-7122 , Japan"
"Mitsubishi UFJ Financial Group, Inc.","Banking , Financial services","106,800 (2015)",http://www.mufg.jp/english/index.html,Nobuyuki Hirano (Chairman) Kanetsugu Mike (President and Group CEO),JPY 4.495 trillion (2013) [1],"October 1, 2005 ; 14 years ago ( 2005-10-01 ) (by merger)","Yurakucho , Chiyoda , Tokyo , Japan"
"Mitsui & Co., Ltd. ",Trading Companies,"6,006 (Consolidated:47,118) (2015)",http://www.mitsui.com/jp/en/index.html,Masami Iijima (Chairman) Tatsuo Yasunaga (President and CEO),"Yen 5,738 billion (2008)","July 25, 1947 ; 72 years ago ( 1947-07-25 )","Tokyo , Japan"
Nakano Corporation,Construction,"1,363 (consolidated, as of March 31, 2017)",http://www.wave-nakano.co.jp/en/,Yoshikazu Oshima ( Honorary chairman ) Toshiyuki Taketani ( President ),"JPY 116.8 billion ( FY 2016)
                        ( US$ 1.04 billion) (FY 2016)","February 8, 1933 ; 86 years ago ( 1933-02-08 ) in Tokyo , Japan","Kudan-kita , Chiyoda-ku, Tokyo 102-0073, Japan"
Mitsubishi Research Institute,Consulting,"3,741 (Consolidated), 896 (Non-consolidated) as of September 30, 2016",http://www.mri.co.jp/E/,"Hiroshi KOMIYAMA, Chairman:
 Kyota OMORI, President","72.5 billion yen (FY2011/9, Consolidated)",1970,"10-3, Nagatacho 2-chome, Chiyoda-ku , Tokyo , Japan, with 4 other offices in Japan & United States"
Mitsui Fudosan Co. Ltd.,Real Estate,"1,216 (Consolidated 15,922) (March 31, 2010)",http://www.mitsuifudosan.co.jp/english,Hiromichi Iwasa (President and CEO),"¥1,385 billion (March 31, 2010)","July 15, 1941 ; 78 years ago ( 1941-07-15 )","2-1-1 Nihonbashi-Muromachi, Chūō, Tokyo , Japan"
Mitsubishi Paper Mills Limited ,Pulp and paper,"3,622 (2015) [1]","http://mitsubishi-paper.com,https://www.mitsubishi-paper.com/",Kunio Suzuki (President),,"April 1, 1898 ( 1898-04-01 )","Sumida, Tokyo , Japan"
Mitsubishi Motors Corporation,Automotive,"29,555 (consolidated as of 31 March 2017) [5]",http://www.mitsubishi-motors.com,Osamu Masuko (President) Takao Kato (CEO),¥ 2.514 trillion (FY2018) [2],"April 22, 1970 ; 49 years ago ( 1970-04-22 )","Minato, Tokyo , Japan"
"Mitsubishi Heavy Industries, Ltd.",Engineering Electrical equipment Electronics Defense,"80,744",http://www.mhi.com,"Shunichi Miyanaga ( Chairman ) Seiji Izumisawa ( CEO , CSO and President )",¥ 4078.3 billion (2018) [1],1884 ; 135 years ago ( 1884 ),"Marunouchi , Tokyo , Japan"
Mitsubishi Electric Corporation,Electrical equipment Electronics,"138,700 (2018) [4]",http://www.mitsubishielectric.com,"Setsuhiro Shimomura ( Chairman ), Masaki Sakuyama ( President & CEO )","¥4,394.4 billion (2017) [2]","January 15, 1921 ; 98 years ago ( 1921-01-15 ) Tokyo , Japan","Tokyo Building , 2-7-3, Marunouchi , Chiyoda , Tokyo, Japan"
Mitsubishi Corporation,General trading company,,http://www.mitsubishicorp.com/,Ken Kobayashi (Chairman) Takehiko Kakiuchi (President and CEO),"¥ 5,206,873 million (2011) [1]",Incorporated in 1918 Refounded in 1954,"Marunouchi , Chiyoda , Tokyo , Japan"
Mitsubishi Chemical Holdings Corporation ,Chemical,"54,111 [2]",http://www.mitsubishichem-hd.co.jp/english/index.html,"Hitoshi Ochi, President and CEO","¥ 2,515,076 million (March 2010) [1]",Japan October 2005 ( 2005-10 ),"Tokyo , Japan"
"Morinaga Milk Industry Co., Ltd.",,,"http://www.morinagamilk.co.jp/,https://www.wikidata.org/wiki/Q6912239?uselang=en#P856",,,"September 1, 1917 ; 102 years ago ( 1917-09-01 )",
"Ministop Co., Ltd.",Retail (convenience stores),911 (2015) [1],http://www.ministop.co.jp,,,"May 21, 1969 ; 50 years ago ( 1969-05-21 )","Mihama-ku , Chiba , Japan"
MITSUBA Corporation,Automotive,"19,555 (consolidated, as of March 31, 2014)",http://www.mitsuba.co.jp/english/,Noboru Hino ( Chairman and CEO ) Yuichi Nagase ( President and COO ),"US$ 2.64 billion ( FY 2013)
                   ( ¥ 272.54 billion) (FY 2013)","(March 8, 1946 ; 73 years ago ( 1946-03-08 ) )","1-2681 Hirosawa-cho, Kiryū, Gunma 376-8555, Japan"
Mitsubishi Materials Corporation,Metals,"26,959 (consolidated as of March 31, 2018)",http://www.mmc.co.jp/corporate/en/index.html,Akira Takeuchi ( Chairman ) Naoki Ono ( President ),"US$14.36 billion ( FY 2018)
                   (¥  1,599 billion JPY ) (FY 2018)",(1871 ; 148 years ago ( 1871 ) ),"3-2, Marunouchi 3-chome, Chiyoda-ku , Tokyo 100-8117, Japan"
Mikuni Corporation,Automotive,"5,745 (as of September 30, 2015)",http://www.mikuni.co.jp/e/index.html,Masaki Ikuta ( Chairman ) Hisataka Ikuta ( President ),"¥ 98,500,000,000 ( FY 2014)
                        ( US$819.8 million ) (FY 2014)","(October 1, 1923 ; 96 years ago ( 1923-10-01 ) )","Sotokanda , Chiyoda-ku , Tokyo 101-0021 , Japan"
Meisei Electric Co. Ltd.,Electronics,351 (2015),http://www.meisei.co.jp/,Kiyoshi Ishii ( CEO ) Mitsuhiko Terashima (Managing board director),US$59.9 million (2015),20 February 1938,"Isesaki , Japan"
"MinebeaMitsumi, Inc.",Machinery Electronics Defense technology,"53,327 (consolidated) (as of March 31, 2013)",http://www.minebea.co.jp,"Yoshihisa Kainuma, ( CEO and President )","$ 3.002 billion ( FY 2012)
                   ( ¥ 282,409 billion) (FY 2012)",16 July 1951 ; 68 years ago ( 1951-07-16 ),"Miyota-machi , Kitasaku-gun , Nagano ( Headquarters ) 3-9-6 Mita , Minato-ku , Tokyo 108-8330, Japan ( Tokyo Head Office )"
"Meiji Holdings Company, Ltd.",Food Pharmaceutical Healthcare,,http://www.meiji.com,,"¥1,114,095 million (consolidated, March 2011) [1]","April 1, 2009 ( 2009-04-01 )","4-16, Kyobashi Nichome, Chuo, Tokyo , Japan"
Meidensha Corporation ,Electrical equipment,"8,173 (as of March 31, 2015)",http://www.meidensha.co.jp/epages/top/,"Junzo Inamura, ( CEO and Chairman ) Yuji Hamasaki, ( President )","JPY 230.3 billion ( FY 2014)
                        ( US$ 1.91 billion) (FY 2014)","December 22, 1897","ThinkPark Tower , 2-1-1 Osaki , Shinagawa-ku , Tokyo , 141-6029 Japan"
Melco Holdings Inc.,Computer hardware,50 MELCO group related: 824,http://www.melcoinc.com/,Makoto Maki ( CEO ),JPY 134.547 billion,1975 ( Japan ),"Nagoya, Aichi , Japan"
"Nagoya Railroad Co.,Ltd.",Private railway,,http://www.meitetsu.co.jp/eng/,,,"June 13, 1921 ( 1921-06-13 ) [2]","Nagoya , Japan"
Mazda Motor Corporation,Automotive,"46,398 (2016)",https://www.mazda.com/,Masamichi Kogai (Chairman) Akira Marumoto (President and CEO),¥ 3.4 trillion (FY 2016) [1],30 January 1920 ; 99 years ago ( 1920-01-30 ),"3-1 Shinchi, Fuchū , Aki, Hiroshima , Japan"
McDonald's Corporation,Restaurants,"~ 210,000 ( 2018 )","https://www.mcdonalds.com/us/en-us.html,http://corporate.mcdonalds.com",Enrique Hernandez Jr. [2] ( Chairman ) Steve Easterbrook ( president and CEO ),US$ 21.025 billion (2018),"May 15, 1940 ; 79 years ago ( 1940-05-15 ) in San Bernardino, California","Chicago , Illinois , U.S. [1]"
"Matsui Securities Co., Ltd",Financial,108,http://www.matsui.co.jp/ir/en/,"Michio Matsui, President Kunihiko Sato, Executive Director [1]","¥ 24,346 million (March 2010)","March 20, 1931 ( 1931-03-20 )","Tokyo , Japan"
Maspro Denkoh Corporation ,Electronics,"846 (As of March 31, 2007)","http://www.maspro.co.jp/,http://www.maspro.co.jp/en,http://www.maspro.net",,,"September 9, 1955","Nisshin , Aichi , Japan"
Marvelous Inc.,Anime industry Video game industry,"597 As of September 30, 2018 (consolidated basis) [2]",http://www.marv.jp/,Haruki Nakayama ( Chairman / President / CEO ) Shuichi Motoda ( Vice Chairman ) Toshinori Aoki ( Executive Vice President / Co-COO ) Takashi Sensui ( Executive Vice President / Co-COO ) [2],"¥ 20,330,000,000 (2014) [3]","October 1, 2011 ( 2011-10-01 ) [1] July 1, 2014 ( 2014-07-01 ) (as Marvelous Inc. )","Tokyo , Japan [2]"
"Maxell Holdings, Ltd.",Electronics,"3,966 (2016)",http://www2.maxell.co.jp,Yoshiharu Katsuta ( President and CEO ),¥135.1 billion (2016),"September 3, 1960 ; 59 years ago ( 1960-09-03 ) Osaka Prefecture , Japan","(Tokyo) 2-18-2, Iidabashi , Chiyoda-ku , Tokyo 102-8521, Japan (Kyoto) 1 Koizumi Oyamazaki , Otokuni , Kyoto 618-8525, Japan"
Maruha Nichiro Corporation,Fishing Food processing,"12,335 (consolidated) (as of December 2013)",http://www.maruha-nichiro.co.jp/english/,"Shigeru Ito, ( CEO and President )","$ 8.614 billion ( FY 2012)
                   ( ¥ 809.789 billion) (FY 2012)","Osaka , Japan March 31, 1943 ( 1943-03-31 )","2-20 3-chome, Toyosu, Koto-ku , Tokyo 135-8603, Japan"
Marubeni Corporation,General trading company,"39,126 including subsidiaries (Mar. 2013) [1]",http://marubeni.com,Fumiya Kokubu (Chairman) Masumi Kakinoki (President and CEO),"¥192,286 billion (Mar. 2017)",1949 ; 70 years ago ( 1949 ),"Chiyoda , Tokyo , Japan"
Mandom Corporation ,Consumer goods,"2,316 (consolidated, as of March 31, 2014)",http://www.mandom.co.jp/english/index.html,Motonobu Nishimura ( President ),"JPY 68.21 billion ( FY 2013)
                        ( US$ 662.2 million) (FY 2013)","Osaka , Japan (December 23, 1927 ; 91 years ago ( 1927-12-23 ) )","5-12 Juniken-cho, Chuo-ku , Osaka , Japan"
Makita Corporation ,Power tools,"13,845 (2015)",https://www.makita.co.jp/,Masahiko Goto (Chairman) Shiho Hori (President),,,Japan
"Makino Milling Machine Co., Ltd.",Machinery,"4,279",http://www.makino.co.jp/en/index.html,Jiro Makino ( President and CEO ),"JPY 149.5 billion ( FY 2014)
                        ( US$ 1.21 billion) (FY 2014)",(May 1937 ; 82 years ago ( 1937-05 ) ),"Nakane , Meguro-ku , Tokyo 152-8578 , Japan"
Maeda Corporation,Construction Engineering,"4,133 (consolidated, as of March 2018)",https://www.maeda.co.jp/english.html,Koichi Obara ( Chairman ) Soji Maeda ( President ),"JPY 467.7 billion ( FY 2017)
                        ( US$ 4.2 billion) (FY 2017)",January 1919 ; 100 years ago ( 1919-01 ) ),"Fujimi, Chiyoda-ku, Tokyo 102-8151 , Japan"
Mabuchi Motor Company,Small DC motors,"25,843 worldwide, 740 in headquarters",http://www.mabuchi-motor.co.jp/,Hiroo Okoshi ( CEO ) Shinji Kamei ( Chairman ),¥ 108.401 billion,1946 ; 73 years ago ( 1946 ),"430 Matsuhidai 270-2280, Matsudo, Chiba , Japan"
Lixil Group Corporation,Construction materials,"58,889 (as of 31 March 2016)",http://www.lixil.com/,Kinya Seto ( President and CEO ),"JPY 1,890 billion ( FY 2015)
                        ( US$ 16.79 billion) (FY 2015)",19 September 1949 ; 70 years ago ( 1949-09-19 ),"Kasumigaseki Building , Kasumigaseki , Chiyoda-ku , Tokyo , 100-6036 , Japan"
"Line Corporation, Ltd.",Internet and Telecommunications,"2,268","https://linecorp.com/,https://www.wikidata.org/wiki/Q11229109?uselang=en#P856","Takeshi Idezawa, CEO",¥120.7B (2015),"Tokyo , Japan (September 4, 2000 ( 2000-09-04 ) )","Tokyo , Japan"
MANDARAKE INC.,Retail,168,http://www.mandarake.co.jp,"Masuzo Furukawa, President","¥9,865 million JPY ( FY 2018)",1980,"Tokyo , Japan"
"Kyowa Hakko Kirin Co., Ltd.",Pharmaceuticals Biotechnology,"7,532 (consolidated) (as of December 31, 2017)",http://www.kyowa-kirin.com/index.html,"Nobuo Hanai, ( CEO and President )",$ 3.548 billion USD ( FY 2013) (¥  340.61 billion JPY ) ( FY 2013),"July 1, 1949","Ohtemachi Building, 1-6-1, Ōtemachi , Chiyoda-ku , Tokyo 100-8185, Japan"
Kurita Water Industries Ltd.,Machinery,"5,222 (as of March 31, 2015)",http://www.kurita.co.jp/english/,Michiya Kadota ( President ),"JPY 189.3 billion ( FY 2014)
                        ( US$ 1.57 billion) (FY 2014)","Tokyo (July 13, 1949 ; 70 years ago ( 1949-07-13 ) )","Nakano-ku , Tokyo 164-0001 , Japan"
Kureha Corporation,Chemicals,"4,374 (consolidated, as of March 31, 2018)",http://www.kureha.co.jp/en/index.html,Yutaka Kobayashi ( President and CEO ),"JPY 147.3 billion ( FY 2017)
                      ( US$ 1.39 billion) (FY 2017)","June 21, 1944 ; 75 years ago ( 1944-06-21 )","Nihonbashi , Chuo-ku,Tokyo , 103-8552 , Japan"
"Kuraray Co., Ltd. ",Chemicals,"7,550 (consolidated as of March 31, 2014)",http://www.kuraray.co.jp/en/,Fumio Ito ( President and CEO ),¥ 485.2 billion (2017) [1],"Kurashiki, Okayama , Japan (June 24, 1926 ; 93 years ago ( 1926-06-24 ) )","Ote Center Building,1-1-3, Ōtemachi , Chiyoda-ku , Tokyo 100-8115, Japan ( Tokyo head office ) Umeda Hankyu Building Office Tower, 8-1, Kakudacho, Kita-ku , Osaka 530-8611, Japan ( Osaka head office )"
"Lawson, Inc.",Retail ( convenience stores ),"6,404 (2013)",http://lawson.jp/en,Genichi Tamatsuka (Chairman) Sadanobu Takemasu (President),,"1939 ; 80 years ago ( 1939 ) in Cuyahoga Falls, Ohio","Shinagawa, Tokyo , Japan"
Kyocera Corporation,Electronics industry,"70,153 (March 31, 2017)",https://global.kyocera.com,Goro Yamaguchi (Chairman) Hideo Tanimoto (President),¥1.577 trillion (2018),1959 ; 60 years ago ( 1959 ),"Kyoto , Japan"
"Kumagai Gumi Co., Ltd.",Construction Engineering,"3,798 (as of March 31, 2016)",http://www.kumagaigumi.co.jp/english/index.html,Yasushi Higuchi ( President ),"JPY 344.7 billion ( FY 2016)
                        ( US$ 3.07 billion) (FY 2016)","(January 1898, 01 ; 121 years ago ( 01-01-1898 ) ) in Fukui, Japan","Shinjuku -ku, Tokyo 162-8557 , Japan"
Kubota Corporation,Machinery,"38,291 (consolidated as of March 31, 2017)",http://www.kubota.com/,"Masatoshi Kimata, ( CEO and President )","$ 14.7 billion ( FY 2014)
                   ( ¥ 1,508 billion) (FY 2014)","Osaka , Japan (February 1890 ; 129 years ago ( 1890-02 ) )","2-47, Shikitsuhigashi 1-chome, Naniwa-ku , Osaka 556-8601 Japan"
Kosé Corporation,Personal care,"6,758 (as of March 31, 2016)",http://www.kose.co.jp/company/en/,Kazutoshi Kobayashi ( President and CEO ),"JPY 243.4 billion ( FY 2015)
                        ( US$ 2.15 billion) (FY 2015)","Kita, Tokyo (March 2, 1946 ; 73 years ago ( 1946-03-02 ) )","Nihonbashi , Chuo-ku, Tokyo 103-8251 , Japan"
"Kyushu Electric Power Co., Inc.",Electric power,,http://www.kyuden.co.jp/en_index.html,,,1 May 1951,Japan
"Keifuku Electric Railroad Co., Ltd.",Private railroad,885 (2015),http://www.keifuku.co.jp/,,¥12.18 billion (2015),"2 May 1942 ( 1942-05-02 ) in Kyoto , Japan","Kyoto , Japan"
KYB Corporation,Automotive,"14,754 (consolidated, as of March 31, 2018)",http://www.kyb.co.jp/english,Tadahiko Ozawa ( Chairman ) Masao Usui ( President and CEO ),"US$ 3.42 billion ( FY 2013)
                  ( JPY 352.71 billion) (FY 2013)","(November 19, 1919 ; 99 years ago ( 1919-11-19 ) )","World Trade Center Building , 4-1, Hamamatsu-cho 2-chome , Minato-ku , Tokyo 105-6111, Japan"
