title,industry,address,website
ACTIPLAY (GROUPE),"5000, Consumer Services",Actiplay 1 Cours Xavier Arnozan FR-33000 Bordeaux France,http://en.actiplay.com
CELLECTIS,"4000, HealthCare",Cellectis 8 Rue de la Croix-Jarry FR-75013 Paris France,http://www.cellectis.com
CHARGEURS,"3000, ConsumerGoods",Chargeurs 112 Avenue Kléber FR-75116 Paris France,https://www.chargeurs.fr/
HAMON,"2000, Industrials","Hamon Axisparc Rue Emile Francqui 2 BE-1435 Mont-Saint-Guibert, Brabant wallon Belgium",http://www.hamon.com
FERMENTALG,"1000, BasicMaterials",Fermentalg 4 Rue Rivière FR-33500 Libourne France,https://www.fermentalg.com/fr/
VICAT,"2000, Industrials",Vicat Tour Manhattan 6 Place de l&#039;Iris FR-92095 Paris-la-Défense France,http://www.vicat.fr
TELECOM ITALIA SPA,,"Telecom Italia Via d&#039; Gaetano Negri 1 IT-20123 Milano, Lombardia Italy",http://www.telecomitalia.com
SIPEF,"3000, ConsumerGoods","SIPEF Kasteel Calesberg BE-2900 Schoten, Antwerpen Belgium",http://www.sipef.be
VIOHALCO,"2000, Industrials","Viohalco S.A. Avenue Marnix 30 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.viohalco.com
ADOMOS,"8000, Financials",Adomos 75 Avenue des Champs-Elysées FR-75008 Paris France,http://www.adomos.com
WERELDHAVE BELGIUM,"8000, Financials","Wereldhave Belgium Medialaan 30-6 BE-1800 Vilvoorde, Vlaams-Brabant Belgium",http://www.wereldhavebelgium.com
IMMOBEL,"8000, Financials","Immobel SA Rue de la Régence 58 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",https://www.immobelgroup.com/en/
VAN DE VELDE,"3000, ConsumerGoods","Van de Velde Lageweg 4 BE-9260 Schellebelle, Wichelen, Oost-Vlaanderen Belgium",http://www.vandevelde.eu
ASCENCIO,"8000, Financials","Ascencio Bâtiment H Avenue Jean Mermoz 1 Boîte 4 BE-6041 Gosselies, Charleroi, Hainaut Belgium",http://www.ascencio.be
FLUXYS BELGIUM D,"0001, Oil & Gas","Fluxys Belgium Avenue des Arts 31 BE-1040 Etterbeek, Bruxelles-Capitale Belgium",http://www.fluxys.com
TITAN CEMENT,"2000, Industrials","Titan Cement International SA Rue de la Loi 23 BE-1040 Bruxelles, Bruxelles-Capitale Belgium",http://www.titan-cement.com
TUBIZE-FIN,"4000, HealthCare","Financière de Tubize Allée de la Recherche 60 BE-1070 Bruxelles, Bruxelles-Capitale Belgium",http://www.financiere-tubize.be
VGP,"8000, Financials","VGP Leonardo Da Vincilaan 19A bus 6 BE-1831 Diegem, Machelen, Vlaams-Brabant Belgium",http://www.vgpparks.eu
CFE,"2000, Industrials","CFE Avenue Herrmann-Debroux 40-42 BE-1160 Bruxelles, Bruxelles-Capitale Belgium",http://www.cfe.be
QRF,"8000, Financials","Qrf Museumstraat 11/211 BE-2000 Antwerpen, Antwerpen Belgium",http://www.qrf.be
CARE PROPERTY INV.,"8000, Financials","Care Property Invest NV Horstebaan 3 BE-2900 Schoten, Antwerpen Belgium",https://carepropertyinvest.be/investeren
SIOEN,"3000, ConsumerGoods","Sioen Industries Fabriekstraat 23 BE-8850 Ardooie, West-Vlaanderen Belgium",http://www.sioen.com
BREDERODE,"8000, Financials",Brederode SA 32 Boulevard Joseph II LU-1840 Luxemburg Luxembourg,https://www.brederode.eu/
E.ON SE,,"E.ON SE Brusseler Platz 1 DE-45131 Essen, Nordrhein-Westfalen Germany",https://www.eon.com/en.html
BALTA GROUP,"3000, ConsumerGoods","Balta Group nv Wakkensteenweg 2 BE-8710 St-Baafs-Vijve, Oost-Vlaanderen Belgium",http://www.baltagroup.com
