Name,产业,員工人數,网站,代表人物,總資產,成立,總部
西王食品股份有限公司,食品加工业,,,,,,
西山煤電集團有限公司,焦煤,,http://www.xsmd.com.cn/,董事長 ：薛道成 总经理 ：王玉宝,,1956年,中國 山西 太原 万柏林区西矿街335号
西安旅游股份有限公司,旅游业,,,,,,
西南证券股份有限公司,证券,,http://www.swsc.com.cn/,,,1999年,中国 重庆
西北轴承股份有限公司,普通机械制造业,,,,,,
浙江華策影視股份有限公司,影視劇製作、藝人培訓、院線經營、廣告製作,,http://www.huacemedia.com,,,2005年10月,中国 浙江省 杭州市 文二西路 683号西溪创意产业园区C区
华夏航空,,,http://www.chinaexpressair.com,,,,
莱茵达置业股份有限公司,房地产开发与经营业,,,,,,
荣安地产股份有限公司,房地产开发与经营业,,,,,,
南京药石科技股份有限公司,医药生物,427人 [2],http://www.pharmablock.com/,董事长 ： 杨民民,,2006年12月,中国 江苏省 南京市 浦口区 高新技术产业开发区学府路10号
荣丰控股集团股份有限公司,房地产开发与经营业,,,,,,
茂名石化实华股份有限公司,石油加工及炼焦业,,,,,,
宁夏英力特化工股份有限公司,化学原料及化学制品制造业,,,,,,
浙江英特集团股份有限公司,食品、饮料、烟草和家庭用品批发业,,,,,,
浙江苏泊尔股份有限公司,家电产品,,http://www.lesso.com/,,,1994 年,中国 浙江杭州市滨江区江晖路1772号苏泊尔大厦17楼
苏州银行股份有限公司,金融业,,http://www.suzhoubank.com/,董事长 ：王蘭鳳,,1998年12月17日江苏东吴农村商业银行成立 2010年9月28日改建为苏州银行,中国 江苏省 苏州市 工业园区 钟园路 728号苏州银行总行大厦
苏宁环球股份有限公司,房地产 建筑材料,,http://www.suning-universal.com,,,1987年,南京
騰訊科技股份有限公司,互聯網,"40,678人（2017年上半年） [2]","https://www.tencent.com/,https://www.wikidata.org/wiki/Q860580#P856",,,1998年11月11日,中國 廣東省 深圳市 南山區海天二路33號 騰訊濱海大廈
苏宁易购,零售,"180,000人（2018年）",http://www.suning.cn,,,1990年12月 ( 1990-12 ),中国 江苏省 南京市 玄武区 苏宁大道（徐庄软件园）1号
芒果超媒股份有限公司,新媒体产业,1309人（2016年）,,张华立 （ 董事長 ） 蔡怀军 （ 總經理 ） 梁德平 （ 財務總監 ）,,2005年12月28日 ，​13年前 ​（ 2005-12-28 ）,中国 湖南省 長沙市 金鹰影视文化城
美特斯邦威,時裝業,,http://www.metersbonwe.com/,董事長 / 執行總裁 ： 周成建,,1995年,中国 上海市 浦东新区 康桥镇 康桥东路800号
山西美锦能源股份有限公司,煤炭化工,,,,,2007年（借殼上市）,中國山西省太原市
美的集團,電器,108000名員工（2014年）,http://www.midea.com/global/,方洪波,,中国 廣東省 （1968年 ( 1968 ) ）,中国 廣東省 佛山市 順德區 北滘 美的大道6號美的工業城總部大樓
北京神州绿盟信息安全科技有限公司,信息安全服务,约2000人,http://www.nsfocus.com,沈继业,,2000年,中国 北京
"Wangsu Science & Technology Co., Ltd (网宿科技股份有限公司)",,"2,846 [2]",http://www.wangsu.com/,"Chengyan Liu [1] (CEO, President) Ke Hong (Vice Chairman, Vice President, CTO) Qian Xiao Vice President, CFO Liping Zhou Vice President, Secretary Minjian Chu Vice President, Director",,2000年 ( 2000 ),中国 北京
绿景控股股份有限公司,房地产开发与经营业,89,,董事長 ：余斌,,1988年,中国 广东省 广州市 天河区 林和中路 8号海航大厦35楼3505房
北京绵世投资集团股份有限公司,房地产开发与经营业,,,,,,
经纬纺织机械股份有限公司,纺织机械,,http://www.jwme.com/,总经理 ：吴旭东,,1951年,中国 山西
紫光国微,电子,,http://www.gosinoic.com,赵伟国 （ 法定代表人 ）,,2001年9月,中国 北京市 海淀区 王庄路1号清华同方科技广场D座西区15层
紫光古汉集团股份有限公司,医药制造业,,http://www.guhan.com/,,,,
索芙特股份有限公司,化学原料及化学制品制造业,,,,,,
东莞宏远工业区股份有限公司,房地产开发与经营业,,,,,,
第一创业证券股份有限公司,金融业,,,刘学民 （ 董事长 ） 钱龙海 （ 总裁 ） 马东军 （ 财务总监 ）,,1998年1月12日 ，​21年前 ​（ 1998-01-12 ）,中国 广东省 深圳市 福田区 福华一路115号投行大厦20楼
江苏秀强玻璃工艺股份有限公司,玻璃产品研发与生产,,http://www.jsxq.com/,,,1999年,中国
神州高铁技术股份有限公司,交通运营维修,18663,http://www.shenzhou-gaotie.com/,董事长：王志全,,1991年6月1日,北京市海淀区高梁桥斜街59号院1号楼16层1606
科大讯飞股份有限公司,信息技术,5940人 [2],http://www.iflytek.com/,董事长 ： 刘庆峰,,1999年12月30日,中国 安徽省 合肥市 蜀山区 高新开发区 望江西路666号
神州学人集团股份有限公司,通信及相关设备制造业,,,,,,
安徽神剑新材料股份有限公司,化工,,http://www.shen-jian.com/,董事长 ： 刘志坚,,2002年4月18日,中国 安徽省 芜湖市 鸠江区 经济技术开发区保顺路8号
神州数码集团股份有限公司,批发零售,,http://www.digitalchina.com/,董事长 ： 郭为,,2000年,中国 广东省 深圳市
盛达矿业股份有限公司,有色金属矿采选业,,,,,,
广东省广告集团股份有限公司,广告 服务业,,http://www.gimc.cn/,董事长 ： 陈钿隆,,1979年,中华人民共和国 广东省 广州市 海珠区 新港东路996号保利世界贸易中心G座
安徽皖通科技股份有限公司,信息服务,,http://www.wantong-tech.net/,董事长 ： 周发展,,1999年,中国 安徽省 合肥市 蜀山区 高新区皖水路589号
深圳市盐田港股份有限公司,港口业、交通运输辅助业,544,http://www.yantian-port.com,法定代表人 ：李冰,,1997年7月21日,中国 广东省 深圳市 盐田区 盐田港海港大厦十七层--二十层
皖能股份有限公司,电力、蒸汽、热水的生产和供应业,,,,,,
申通快递,快递,,http://site.sto.cn/,,,1993年 ( 1993 ) 中國 上海市,中國 上海市 青浦区 赵重公路1888号
厦门瑞尔特卫浴科技股份有限公司,卫浴产品研发与生产,,http://www.rtplumbing.com/,,,1999年,中国
申万宏源集團股份有限公司,證券,,http://www.sywg.com,李剑阁 （ 董事長 ） 储晓明 （ 总裁 ）,,1996年9月16日（申银万国成立）,中国 上海市 徐汇区 长乐路 989号世纪商贸广场45层
珠海港股份有限公司,综合类,,http://www.0507.com.cn,欧辉生（董事长）,,1986年6月20日,中华人民共和国 广东省 珠海市 高栏港经济区
珠海中富实业股份有限公司,塑料制造业,,,陈志俊（董事长）,,1985年12月18日,中国 广东省 珠海市
海南珠江控股股份有限公司,房地产业,,,,,,
广州珠江啤酒股份有限公司,啤酒的生产和销售,,http://www.zhujiangbeer.com,,,,中国 广东省 广州市 海珠区 新港东路 磨碟沙大街118号
獐子岛集团股份有限公司,,,http://www.zhangzidao.com/,,,,辽宁省 大连市 长海县 獐子岛镇
深圳市特发信息股份有限公司,通信及相关设备制造,,http://www.sdgi.com.cn,法人代表：王宝,,1999年7月29日,深圳市南山区科技工业园科丰路2号通讯大厦
北京燕京啤酒股份有限公司,啤酒,,http://www.yanjing.com.cn,董事長 ： 李福成,,1997年,中国 北京市 顺义区 双河路9号
江西煌上煌集團食品股份有限公司,畜禽肉制品加工,,http://jxhsh.com.cn,,,1993年 ( 1993 ),
濰柴動力股份有限公司,柴油 發動機,,http://www.weichai.com/,董事長 ：譚旭光,,1946年,中國 山東省 潍坊市
陕西烽火电子股份有限公司,通信及相关设备制造业,,,,,,
焦作万方铝业股份有限公司,有色金属冶炼及压延加工业,,,,,,
湖南投资集团股份有限公司,交通运输辅助业,,,,,,
湖北省广播电视信息网络股份有限公司,,,,,,,
湖北金环股份有限公司,化学纤维制造业,,,,,,
湖北宜化化工股份有限公司,化肥 、 化工 、 热电,,http://www.hbyh.cn/,党委书记 、 董事长 、 总经理 ：蒋远华,,1992年,注册地址： 湖北省 宜昌市 猇亭大道399号 办公地址：湖北省宜昌市沿江大道52号
广东温氏食品集团股份有限公司,农业养殖,,http://www.wens.com.cn/,,,,中国
游族网络股份有限公司,游戏开发者 和 電子遊戲發行商,,"/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD,http://www.youzu.com/,http://www.gtarcade.com/",,,2009 [1],
重庆渝开发股份有限公司,J,,,,,,
渤海金控投资股份有限公司,租賃,,,,,,
沈阳合金投资股份有限公司,综合类,,,,,,
合肥百货大楼集团股份有限公司,零售业,,http://www.hfbh.com.cn,,,1993年10月9日 [1],
合肥城建发展股份有限公司,房地产,198人 [2],http://www.hucd.cn/,董事长 ： 王晓毅,,1999年9月7日,中华人民共和国 安徽省 合肥市 蜀山区 潜山路100号琥珀五环国际A座10-14层
安徽古井贡酒股份有限公司,制造业,,http://www.gujing.com,董事长 ： 梁金辉,,1996年5月30日,中华人民共和国 安徽省 亳州市 古井镇
安徽省司尔特肥业股份有限公司,制造业,,http://www.sierte.com/,董事长 ： 金国清,,1997年11月,中国 安徽省 宣城市 宁国市 经济技术开发区
双星集团有限责任公司,橡胶制造业,,http://www.doublestar.com.cn/,,,,中国 青岛
南风化工集团股份有限公司,,,http://www.nafine.com/,,,1996年,中國 山西省 运城市
江西博雅生物制药股份有限公司,生物制药,,,,,1993年11月6日,中国 江西省 抚州市 高新技术产业园区惠泉路333号
南京红太阳股份有限公司,化学原料及化学制品制造业,,,,,,
南京港,,,,,,,
华闻传媒投资集团股份有限公司,文化传播,,http://www.000793.com/,董事长： 汪方怀 总裁： 王源,,1991年9月,中华人民共和国 海南省 海口市 海甸四东路民生大厦
华联控股股份有限公司,投资兴办实业，生产经营各种布料、服装、化纤和纺织机械，国内商业、物资供销业，自有物业管理，承接内引外联，“三来一补”业务,,http://www.udcgroup.com,法人代表：董炳根,,1989年9月11日,深圳市深南中路2008号华联大厦11层1103室
华润三九医药股份有限公司,,,http://www.999.com.cn,,,1999年,中国 广东省 深圳市 龙华新区 观澜街道 高新园区观清路1号
华林证券股份有限公司,金融业 -资本市场服务- 投资银行 与经纪业,,http://www.chinalin.com,林立（ 董事长 、 总裁 ）,,1997年6月18日,注册： 中国 西藏自治区 拉萨市 柳梧新区察古大道1-1号君泰国际B栋一层3号 实际： 中国 深圳市 福田区 民田路178号华融大厦6楼
浙江华智控股股份有限公司,仪器仪表及文化、办公用机械制造业,,,,,,
华映科技（集团）股份有限公司,电子元器件制造业,,,,,,
深圳市华新股份有限公司,商业,,,董事长：严立虎,,1988年12月30日,深圳
华意压缩机股份有限公司,专用设备制造业,,http://www.hua-yi.cn,法人代表：刘体斌,,1996年6月13日,江西省景德镇市高新区长虹大道1号
深圳华强集团有限公司,电子元器件、高科技旅游娱乐等,,http://www.szhq.com/,,,1979年,中国 广东省 深圳市 福田区 深南中路华强路口
北京华录百纳影视股份有限公司,电影、电视剧、动画片的策划投资、制作、发行,,,,,2002年,北京市 石景山区西井路3号崇新大厦4号楼六层
深圳华强实业股份有限公司,日用电子器具制造业、制造业,,https://web.archive.org/web/20160722014648/http://www.szhq0062.com/,法人代表：胡新安,,1994年1月19日,深圳市福田区深南中路华强1号楼7层
华天酒店集团股份有限公司,社会服务业,,http://www.huatian-hotel.com,,,,
华塑控股股份有限公司,塑料制造业,,,,,,
华数传媒控股股份有限公司,信息传播服务业,,http://www.wasu.com/,法人代表：励怡青,,1994年6月30日,中国 杭州市滨江区江南大道3850号创新大厦15楼1505室
深圳华大基因科技有限公司（BGI）,基因测序,,"http://bgi.com/,http://www.genomics.cn/en/",杨焕明 (Chairman) Wang Jian (President) Mu Feng (rotating CEO) Yang Shuang (COO),,1999年9月9日9:09:09 (Beijing),
安徽华信国际控股股份有限公司,化学工业,,http://www.huaxingchem.com/,董事长 ： 李勇,,1998年2月13日,中国 安徽省 马鞍山市 和县 乌江镇
华东医药股份有限公司,药品制造、分销和 零售,,http://www.eastchinapharm.com/,董事长 兼 总经理 ：李邦良 财务总监 ：马红兰,,1952年（实际） 1999年（名义） 中国 杭州,中国 浙江省 杭州市 拱墅区 莫干山路866号
千山製藥機械股份有限公司,製藥機械业,,,朱兆服、劉祥華,,2002年,长沙经开区 （ 星沙 ）盼盼路9号（梨江路）
北海港股份有限公司,交通运输辅助业,,,,,,
汇川技术股份有限公司,工业自动化、新能源、自动化,,http://www.inovance.cn/,,,2003年,中国 深圳市 宝安区新安街道留仙二路鸿威工业园E栋厂房1、2、3、4、5楼 [1]
北方国际合作股份有限公司,土木工程建筑业,,http://www.norinco-intl.com,法人代表：胡发荣,,1997年6月17日,北京市广安门内大街338号港中旅大厦11层
華僑城集團公司,旅游 及 文化,,http://www.chinaoct.com/,董事長 ： 任克雷,,1985年 ，​34年前 ​（ 1985 ）,中国 广东省 深圳市 南山区 华侨城集团办公大楼（將遷入西側的 華僑城大廈 54-58樓）
力合股份有限公司,综合类,,,,,,
创元科技股份有限公司,普通机械制造业,,,,,,
唐山冀东水泥股份有限公司,非金属矿物制品业、水泥制造业,,http://www.jdsn.com.cn,法人代表：张增光,,1994年5月8日,河北省唐山市丰润区林荫路
创维集团有限公司,电子科技产品,逾3万5千名员工,http://www.skyworth.com,董事会主席 賴偉德 总裁 劉棠枝,,1988年 ，​31年前 ​（ 1988 ）,中国 广东省 深圳市 南山 高新科技园区
