Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Badger Explorer ASA,,,"http://www.bxpl.com/default.asp,https://www.wikidata.org/wiki/Q17749757?uselang=en#P856","Kjell Erik Drevdal (CEO, 2005–Oct 2011) David Blacklaw (CEO, Oct 2011–Sep 2013) Steinar Bakke (CEO, Oct 2013–Jan 2016) Øystein Larsen (CEO, Jan 2016–Aug 2016) Roald Valen (CEO, Aug 2016–Apr 2017) Vegard Urnes (Hunter Group ASA; CEO, May 2017–Mar 2018)",,2003,"Stavanger , Norway"
Atlantic Petroleum P/F,Petroleum,around 30 (end 2013) [1],http://www.petroleum.fo/,"Ben Arabo ( CEO ) , Birgir Durhuus ( Chairman )",DKK 422.5 million (2010) [1],1998,"Tórshavn , Faroe Islands"
Aurskog Sparebank,Financial services,,http://www.aurskog-sparebank.no/,,,1846,"Aurskog , Norway"
Aker ASA,Holding company,"26,600 (2008) [1]",http://www.akerasa.com,"Øyvind Eriksen (President and CEO ) , Kjell Inge Røkke ( Chairman of the board )","NOK 64,647 million (2008) [1]",2004,"Oslo , Norway"
ABG Sundal Collier Holding ASA,Financial services,260 (2015),https://www.abgsc.com,,,2001 as ABG Sundal Collier 1997 as ABG Securities 1984 as Sundal Collier,"Oslo , Norway"
Aker BP ASA,Oil and gas,"1,300",https://www.akerbp.com/en/,,,,"Fornebu , Norway"
AF Gruppen ASA,Construction,3000,http://www.afgruppen.no,Pål Egil Rønn (CEO) Morten Grongstad (Chairman),"NOK 12,4 billion (2015)",1985,"Oslo , Norway"
Aker Floating Production ASA,Petroleum,,http://www.akerfloatingproduction.com/,Arne Hygen Tørnkvist (CEO) Martinus Brandal (Chair),,2006,"Oslo , Norway"
Proximus Group,Telecommunications,"14,090 ( FTE , end 2015) [1]",http://www.proximus.com,"Dominique Leroy (CEO) , Stefaan De Clerck (Chairman)",€6.012 billion (2015) [1],1930 (as RTT),"Brussels , Belgium"
Telenet Group N.V.,Telecommunications,"3,387 ( FTE , end 2016) [1]",https://www.telenet.be/,"John Porter ( CEO ) , Frank Donck ( Chairman )",€2.429 billion (2016) [1],1996,"Brussels , Belgium"
KBC Group N.V.,Financial services,"38,356 ( FTE , end 2016) [1]",http://www.kbc.com/,"Thomas Leysen ( Chairman ) , Johan Thijs ( CEO ) , Rik Scheerlinck ( CFO )",€ 7.700 million (2017) [1],"1935 ; 84 years ago ( 1935 ) (Kredietbank), present name (KBC Group) dates from 2005","Brussels , Belgium"
Groupe Bruxelles Lambert S.A. ,Holding company,,http://www.gbl.be/en,Gérald Frère (Chairman of the Board) Ian Gallienne (Co-CEO) and Gérard Lamarche (Co-CEO),,"January 4, 1902 ; 117 years ago ( 1902-01-04 )","Brussels , Belgium"
Colruyt Group,Retail,"30,000 (March 2014) [1]",http://www.colruytgroup.com,Jef Colruyt ( Executive chairman ),€8.652 billion (2013/2014) [1],1928,"Halle , Belgium"
Cofinimmo S.A.,Real estate,,http://www.cofinimmo.com/,Jean-Pierre Hanin (CEO),,1983,"Brussels , Belgium"
Anheuser-Busch InBev SA/NV,"Drink , brewing","182,915 (End of 2017) [2]",http://www.ab-inbev.com,Carlos Brito (CEO),US$ 54.62 billion (2018) [1],"2008 ; 11 years ago ( 2008 ) , through InBev acquiring Anheuser-Busch","Leuven , Belgium"
Kinepolis Group NV/SA,"Cinema, film distribution","2,100",http://www.kinepolis.com,Eddy Duquenne Joost Bert Philip Ghekiere ( Chairman ),,1997,"Ghent , Belgium"
bpost,,,http://www.bpost.be,"Koen Van Gerven ( CEO ), Françoise Masai (chair), Alexander De Croo (minister)",,,"Brussels , Belgium"
"Martifer SGPS, S.A.",Metallic Construction Energy Systems Electricity Generation,~3000 (2008),http://www.martifer.com,"Carlos Martins, Chairman Jorge Martins, CEO",€ ~650 million (core activity - 2008),1990,"Oliveira de Frades , Portugal"
Ageas SA/NV,Financial services,"13,071 (end 2013) [1]",http://www.ageas.com,"Jozef de Mey ( Chairman ) , Bart de Smet ( CEO )",€ 14.01 billion (end 2013) [1],1990 (as Fortis); 2010 (as Ageas),"Brussels , Belgium"
"Galp Energia, SGPS, S.A.",Petroleum industry,"6,389 (2017) [1]",http://www.galp.com,"Paula Amorim ( Chairman ) , Carlos Gomes da Silva [ pt ] ( CEO )",€ 15.204 billion (2017) [1],1999,"Lisbon , Portugal"
Ackermans & van Haaren N.V.,Conglomerate holding company,"22,749 (average, 2017) [1]",https://www.avh.be/,Jan Suykens ( CEO ),3.3 billion euros (2017) [1],1876 ; 143 years ago ( 1876 ),"Antwerp , Belgium"
Banco Comercial Português S.A.,"Banking, Financial Services","7,189 (end, 2017) [1]",http://www.millenniumbcp.pt/,"Miguel Maya ( CEO ) , Nuno Amado ( Chairman of the supervisory board )",,1985,"Porto , Portugal"
Porto,,,http://www.fcporto.pt/,,,28 September 1893 ; 126 years ago ( 1893-09-28 ) as Foot-Ball Club do Porto,
Braga,,,http://www.scbraga.pt,,,19 January 1921 ; 98 years ago ( 1921-01-19 ),
Benfica,,,https://www.slbenfica.pt,,,28 February 1904 (115 years ago) ( 1904-02-28 ) as Sport Lisboa,
Providence Resources,,,http://www.providenceresources.com,,,,"Airfield Park, Donnybrook, Dublin , Ireland"
