Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
東海運株式会社,倉庫・運輸関連業,連結：785人　単独：534人 （2012年3月31日現在）,https://www.azumaship.co.jp/,,"22億9,498万5千円 （2012年3月31日現在）",1917年 （ 大正 6年） 12月2日,
アステリア株式会社,情報・通信業,112名（2017年9月30日現在）,https://www.asteria.com/jp/,,"22億7,534万円",1998年 9月1日,
アステラス製薬株式会社,医薬品,"単体：5,186名、連結：17,202名 （2017年3月31日現在）",https://www.astellas.com/jp/,藤澤友吉 山内健二 青木初夫 竹中登一,"1,030億円",1939年 （ 昭和 14年） 3月20日 （山之内製薬株式会社）（創業： 1923年 （ 大正 12年）、（藤沢薬品工業株式会社）（創業： 1894年 （ 明治 27年）,
あすか製薬株式会社,医薬品,連結:862人（2016年3月31日現在）,https://www.aska-pharma.co.jp/,,"11億9,790万円",2005年 （ 平成 17年） 10月1日,
芦森工業株式会社,輸送用機器,"連結2,750名（2017年3月）",https://www.ashimori.co.jp/,,"83億8,800万円",1935年 （ 昭和 10年） 12月27日,〒 550-0001 大阪市 西区 土佐堀1丁目4番8号
アスクル株式会社,小売業,"連結:1,711人  単独:636人 （2016年5月20日現在）",https://www.askul.co.jp/,,"211億8,900万円（2016年5月20日現在）",1963年 （ 昭和 38年） 11月2日 （プラス工業株式会社）,
味の素株式会社,食料品,"連結：32,734名 単独：3,459名 （2017年3月31日時点）",https://www.ajinomoto.co.jp/,二代目鈴木三郎助 （創業者） 鈴木忠治 （元社長） 三代目鈴木三郎助 （元社長） 四代目鈴木三郎助 （元名誉会長） 鈴木恭二 （元社長） 鈴木三千代 （元専務） 池田菊苗 （ うま味 発見者） 道面豊信 （元社長） 渡辺文蔵 （元社長） 歌田勝弘 （元社長） 鳥羽董 （元社長） 稲森俊介 （元社長） 江頭邦雄 （元社長） 山口範雄 （元社長） 伊藤雅俊 （元社長）,"798億6,300万円",1925年 （大正14年） 12月17日 （株式会社鈴木商店）（創業： 1909年 （明治42年） 5月20日 ）,
アズビル株式会社,電気機器,"連結：9,585名 単独：5,335名 （2013年3月31日現在）",https://www.azbil.com/jp/,,"105億2,271万6,817円",1949年 （ 昭和 24年） 8月22日 （山武計器株式会社）,
トナミ運輸株式会社,陸運業,"連結：6,447名（2015年3月31日現在） [4]",http://www.tonamiholdings.co.jp/,綿貫民輔,141億82百万円（2015年3月期） [4],1943年 （ 昭和 18年） 6月1日 （礪波運輸株式会社） [3] 2008年 （ 平成 20年） 10月1日 （純粋持ち株会社移行日） [3],
株式会社トリケミカル研究所,化学,,http://www.trichemical.com/,,8億891万円（2017年1月）,1978年 12月6日,
株式会社鳥貴族,小売業,8696人（2017年10月31日現在）,https://www.torikizoku.co.jp/,,"14億8,868万5,125円",1986年 9月19日,
鳥居薬品株式会社,医薬品,"1,049名（2018年12月31日現在）",https://www.torii.co.jp/,髙木正一郎 （元社長）,51億90百万円,1921年 11月1日 （株式会社鳥居商店）,
株式会社ドリームインキュベータ,サービス業,連結:493名  単独:101名 （2017年3月末日現在）,https://www.dreamincubator.co.jp/,宮内義彦 （元社外取締役）,"4,915百万円 （ 2016年 3月末日現在）",2000年 （ 平成 12年） 4月20日,
電源開発株式会社,電気・ガス業,連結:7190人 （2019年3月31日現在）,http://www.jpower.co.jp/,高碕達之助 （初代 総裁 ）、 小坂順造 、 藤井崇治 、 吉田確太 、 大堀弘 、 両角良彦 、 門田正三 、 藤原一郎 、 杉山和男 、 藤木勇光,1805億2百万円 （2015年3月31日現在）,1952年 9月16日,
株式会社トランザクション,その他製品,33名（連結352名）（2013年8月末現在） [1],https://www.trans-action.co.jp/,,"303,093,000円 [1]",1987年1月19日,
トランコム株式会社,倉庫・運輸関連業,"連結:6,102名（2019年3月末時点）",https://www.trancom.co.jp/,,10億8004万7千円,1959年 （ 昭和 34年）6月22日 （株式会社ナゴヤトランスポートセンター）,
トラスコ中山株式会社,卸売業,"1,493人",http://www.trusco.co.jp/,中山注次（創業者）,"50億2,237万円",1964年 （昭和39年） 3月2日 （中山機工株式会社）,
トランス・コスモス株式会社,サービス業,"グループ：54,917名（国内：37,747名、海外：17,170名） （2019年3月末現在）",https://www.trans-cosmos.co.jp/,島田亨 （ 社外取締役 ）、 夏野剛 （社外取締役監査等委員）,"290億6,596万円",1966年 6月 (前身：丸栄計算センター（株）),
東急株式会社,不動産事業,単独：4666人 連結：23637人 （2019年3月31日現在 [2] ）,https://www.tokyu.co.jp/,渋沢栄一 （田園都市創設者） 矢野恒太 （田園都市大株主） 小林一三 （田園都市経営者） 五島慶太 （事実上の創業者） 河野一三 （田園都市役員、東急建設・世紀東急工業社長） 五島昇 （元社長） 田中勇 （元副社長・事実上の経営者） 大川博 （元副社長） 横田二郎 （元社長） 清水仁 （元社長） 上條清文 （元社長） 三宮四郎 （元専務取締役）,1217億2400万円 （2018年3月31日現在 [1] ）,1922年 （ 大正 11年） 9月2日 （目黒蒲田電鉄株式会社）,
トヨタ紡織株式会社,輸送用機器,"連結 4万1,624名 単体 8,219名 （2016年3月31日現在）",https://www.toyota-boshoku.com/jp/,豊田佐吉 （創業者） 大野耐一 （元会長） 小山敬 （元社長） 好川純一 （元社長）,84億円,1950年 （昭和25年） 5月15日 （民成紡績株式会社）,
豊田通商株式会社,卸売業,"連結56,827名 単体:3,571名 （2018年3月現在）",https://www.toyota-tsusho.com/,柴田泰男 （元社長） 白井芳夫 （元副会長）,"649億3,600万円",1948年 （ 昭和 23年） 7月1日 （日新通商株式会社）,〒 450-8575 愛知県 名古屋市 中村区 名駅 四丁目9番8号（ センチュリー豊田ビル ）
株式会社 富山第一銀行,銀行業,連結：699人 単体：694人 （2015年3月31日現在）,https://www.first-bank.co.jp/,,80億円 （2015年3月31日現在）,1944年 （昭和19年） 10月1日,
株式会社豊田自動織機,輸送用機器,"単体13,891名 連結64,641名 （2019年 3月31日 現在）",https://www.toyota-shokki.co.jp/,豊田佐吉 （創業者） 豊田利三郎 （初代社長） 豊田芳年 （元社長） 石田退三 （元社長） 権田銈次 （元社長） 磯谷智生 （元社長） 横井明 （元会長）,804億62百万円,1926年 （ 大正 15年） 11月18日 （株式会社豊田自動織機製作所）,
トモニホールディングス株式会社,銀行業,"連結：2,078人 単体：19人 （2015年3月31日現在）",http://www.tomony-hd.co.jp/,,250億円 （2015年3月31日現在）,2010年 4月1日,
株式会社 巴コーポレーション,建設業,連結：446人 単体：364人 （2011年3月31日現在）,https://www.tomoe-corporation.co.jp/,野澤一郎 （創業者）,"30億1万2,000円",1934年 6月26日,日本 〒 104-0054 東京都 中央区 勝どき 4丁目5番17号 かちどき泉ビル
株式会社 巴川製紙所,パルプ・紙,"連結：1,107人　単独：408人 （2015年3月31日現在）",https://www.tomoegawa.co.jp/,,"28億9,495万円",1917年 （ 大正 6年） 8月15日,
豊田合成株式会社,輸送用機器,"連結:38,234名 単独:6,485名",https://www.toyoda-gosei.co.jp/,大野耐一 （元会長）,280億27百万円,1949年 6月15日,
株式会社トマト銀行,銀行業,連結：852名 単体：821人 （2016年3月31日現在）,https://www.tomatobank.co.jp/,,143億1千万円 （2016年3月31日現在）,1931年 （昭和6年） 11月9日 （倉敷無尽）,
トヨタ自動車株式会社,輸送用機器,"連結：37万870人 単独：7万4,515人 （2019年3月31日現在）",https://www.toyota.co.jp/,豊田佐吉 （トヨタの始祖） 豊田利三郎 （初代社長） 豊田喜一郎 （第二代社長、実質的創業者） 石田退三 （第三代社長、 中興の祖 ） 豊田英二 （第五代社長、元最高顧問） 豊田章一郞 （第六代社長、名誉会長） 奥田碩 （第八代社長） 張富士夫 （第九代社長、元名誉会長） 渡辺捷昭 （第十代社長）,"3,970億4,900万円 （2016年3月期） [1]",1937年 8月28日 （トヨタ自動車工業株式会社）,
飛島建設株式会社,建設業,"連結：1,099［130］人 単独：1,069［125］人 ※1",https://www.tobishima.co.jp/,,"55億1,994万円（平成28年3月31日現在）",1947年 （昭和22年） 3月12日,
株式会社ドトール・日レスホールディングス,小売業,"連結2,706名 （2017年2月末日現在）",http://www.dnh.co.jp/,鳥羽豊 （初代社長）,10億円（2017年2月末日現在）,2007年10月1日,
トピー工業株式会社,輸送用機器,"連結：4,135人、単独：1,911人",https://www.topy.co.jp/ja/index.html,藤井康雄 （元代表取締役社長）,209億8300万円,1934年 （昭和9年） 12月19日,
株式会社トップカルチャー,小売業,グループ正社員377名 （2017年7月末現在）,http://www.topculture.co.jp/,,20億737万円,1986年 12月12日,
株式会社トプコン,精密機器,連結4497名（2017年3月） [1] 単独733名（2015年3月）,https://www.topcon.co.jp/,,166億3800万円（2018年3月期） [1],1932年 （ 昭和 7年） 9月1日 [1],
トッパン・フォームズ株式会社,その他製品,"連結：10,661人 単体：1,910人 （2018年3月31日現在）",https://www.toppan-f.co.jp/,,"117億5,000万円",1955年 （ 昭和 30年） 5月2日,
株式会社富山銀行,銀行業,連結：329人 単体：321人 （2015年3月31日現在）,https://www.toyamabank.co.jp/,,67億30百万円 （2015年3月31日現在）,1954年 （昭和29年） 2月1日 [1],
凸版印刷株式会社,その他製品,"単体：9,699名 連結：51,210名 （2018年3月末時点）",https://www.toppan.co.jp/,足立直樹 （元社長） 降矢祥博 （元副社長）,"1,049億8,600万円 （ 2017年 3月末現在）",1900年 （ 明治 33年),〒 110-8560 東京都 台東区 台東 一丁目5番1号
株式会社鳥取銀行,銀行業,単体：677人 連結：689人 （2015年3月31日現在）,https://www.tottoribank.co.jp/,八村輝夫 （元頭取、会長）,90億61百万円 （2015年3月31日現在）,1949年 （昭和24年） 10月1日,
株式会社栃木銀行,銀行業,"単体：1,629人 連結：1,738人 （2016年3月31日現在)",https://www.tochigibank.co.jp/,菊池康雄（元代表取締役会長）,274億8百万円 （2016年3月31日現在),1942年 （昭和17年） 12月8日,
戸田工業株式会社,化学,単体338人,http://www.todakogyo.co.jp/,,"74億7,700万円",1933年 11月30日,
戸田建設株式会社,建設業,"単独:3,861名 連結:4,817名 (2015年3月31日現在)",https://www.toda.co.jp/,戸田順之助 ( 名誉 会長 ),230億100万円 (2015年3月期),1936年 7月10日,
特種東海製紙株式会社,パルプ・紙,"連結 1,506人、単独 816人 （2015年3月31日現在）",https://www.tt-paper.co.jp/,,114億85百万円,2007年 （ 平成 19年） 4月2日,静岡県 島田市 向島町4379番地
株式会社トーモク,パルプ・紙,"連結：2,998人 単独：974人 （2012年3月31日現在）",https://www.tomoku.co.jp/,,"136億6,987万円",1949年 （ 昭和 24年） 5月27日,
株式会社トーメンデバイス,卸売業,連結 127名、単独 86名 （2017年3月31日現在） [1],https://www.tomendevices.co.jp/,,20億54百万円 [1],1992年 （ 平成 4年） 3月19日,
株式会社トーホー,卸売業,"連結2,599名（2019年1月末現在）",https://www.to-ho.co.jp/,,"53億4,477万円（2016年現在）",1947年 10月,
トーセイ株式会社,不動産業,連結227名 単独120名 （2013年11月30日現在）,https://www.toseicorp.co.jp/,,"64億2,139万円",1950年 2月2日,
株式会社トクヤマ,化学,"連結：4,889［518］名 単独：1,920名 （2018年3月31日現在） [1]",https://www.tokuyama.co.jp/,岩井勝次郎 （創業者） 岩瀬徳三郎 （元技師長、 東ソー 創業者） 中原茂明 （元社長） 幸後和壽 （元社長）,100億円 （2018年3月31日現在） [1],1918年 2月16日,〒 745-8648 山口県 周南市 御影町1番1号
株式会社トーセ,情報・通信業,連結: 610人 単独: 499人 （2017年8月31日現在） [1],https://www.tose.co.jp/,,"9億6,700万円 [1]",1979年 11月1日,〒 618-0081 京都府 乙訓郡 大山崎町 字下植野小字二階下13番地 北緯34度54分31.63秒 東経135度42分3.24秒 ﻿ / ﻿ 北緯34.9087861度 東経135.7009000度 ﻿ / 34.9087861; 135.7009000
トーカロ株式会社,金属製品,連結955名 単独605名,https://www.tocalo.co.jp/,,26億5882万3千円 （2018年3月31日現在）,1951年 （ 昭和 26年） 7月1日 （東洋カロライジング工業株式会社）,
トーヨーカネツ株式会社,機械,214名（連結 909名）,https://www.toyokanetsu.co.jp/,,185億8千万円,1941年 5月16日,
株式会社トーエル,小売業,[単体]399人 [連結]432人 （2015年4月末現在）,https://www.toell.co.jp/,,7億6715万2000円 （2015年4月末現在）,1963年 5月22日,
株式会社トーエネック,建設業,"単体：4,858名 連結：6,093名 （2018年3月31日現在） [2]",http://www.toenec.co.jp/,,76億8078万5千円 （ 2018年 3月31日現在） [2],1944年 （ 昭和 19年） 10月1日 （東海電気工事株式会社）,
株式会社トーア紡コーポレーション,繊維製品,連結482名 単体52名 （2013年12月）,http://www.toabo.co.jp/,岩井勝次郎,39億40百万円,2003年 6月12日,
東和薬品株式会社,医薬品,"2,279名 （2017年4月1日現在）",https://www.towayakuhin.co.jp/,,"47億1,770万円",1957年 （ 昭和 32年）4月19日,
DOWAホールディングス株式会社,非鉄金属,"連結：6,777人 単独：71人 （2017年3月31日現在）",http://www.dowa.co.jp/,藤田伝三郎 （創業者）、 吉川廣和 （元 会長）,364億37百万円,1937年 （ 昭和 12年） 3月11日 （株式会社藤田組）,
株式会社東和銀行,銀行業,1406人,https://www.towabank.co.jp/,,386億円,1917年 6月11日,日本 〒 371-8560 群馬県 前橋市 本町二丁目12番6号
株式会社トーカイ,サービス業,"連結3,059名 （2018年3月現在）",https://www.tokai-corp.com/,,81億08百万円,1955年 （ 昭和 30年） 7月21日 （東海綿業株式会社）,
東レ株式会社,繊維製品,"4万5,881人 （2014年3月末時点） [8]",https://www.toray.co.jp/,田代茂樹 （元会長） 安居喜造 （元会長） 榊原定征 （元会長）,1487億73百万円 （2015年3月31日時点） [1],1926年 （ 大正 15年） 1月12日 （東洋レーヨン株式会社）,
東リ株式会社,化学,"連結:1,801人 単体:839人 （2018年3月31日現在）",https://www.toli.co.jp/,,68億55百万円 （2018年3月31日現在）,1919年 12月1日,
東洋紡株式会社,繊維製品,"連結：9,494名 単体：3,080名（2018年3月31日現在）",https://www.toyobo.co.jp/,山辺丈夫 （創業者） 渋沢栄一 藤田伝三郎 松本重太郎 阿部市郎兵衛 (7代) 阿部周吉 阿部房次郎 阿部孝次郎 関桂三 宇野収 伊藤伝七 (10代目),517億円（2018年3月31日現在）,1914年 （ 大正 3年） 6月26日 （東洋紡績株式会社）,
東洋埠頭株式会社,倉庫・運輸関連業,連結：724名 単体：287名,http://www.toyofuto.co.jp,,"82億6,000万円",1929年 5月,
TOWA株式会社,機械,単体 457人、連結 1201人 （2017年3月31日現在）,https://www.towajapan.co.jp/jp/,,89億3262万円 （2017年3月31日現在）,1979年 4月27日,
東洋ビジネスエンジニアリング株式会社,サービス業,連結590人 単体441人 （2019年3月31日現在）,https://www.to-be.co.jp/,千田峰雄 、 大澤正典 、 羽田雅一,6億9760万円,1980年 12月 （オリエント工事株式会社）,
東洋電機製造株式会社,電気機器,単体843名、連結1267名 （2018年5月31日現在 [2] ）,https://www.toyodenki.co.jp/,渋沢栄一 土屋正美 （元代表取締役専務）,49億9839万円 （2018年5月31日現在 [1] ）,1918年 （ 大正 7年） 6月20日,
株式会社 東陽テクニカ,卸売業,474名 (2015年9月30日現在),https://www.toyo.co.jp/,,41億5800万円,1953年 9月,
東洋炭素株式会社,ガラス・土石製品,"単体: 847 (121)人 連結:1,710 (214) 人※1",https://www.toyotanso.co.jp/,,78億10百万円,1947年 （昭和22年） 7月31日,日本 〒 555-0011 大阪市西淀川区竹島5丁目7番12号
TOYO TIRE株式会社,ゴム製品,単体3247人、連結11333人 （2015年12月）,https://www.toyotires.co.jp/,片山松造 （元社長） 中倉健二 （元社長） 信木明 （元社長）,304億8462万7991円,1943年 12月4日 （株式会社平野護謨製造所）,
東陽倉庫株式会社,倉庫・運輸関連業,連結 619名、単独 244名 （2015年3月31日現在） [3],http://www.toyo-logistics.co.jp/,,34億1252万円 [3],1926年 （ 大正 15年） 3月13日 [1],
東洋精糖株式会社,食料品,連結:67人  単独:57人 （2018年3月31日現在）,https://www.toyosugar.co.jp/,,29億04百万円,1949年 （ 昭和 24年） 11月29日,
東洋証券株式会社,証券、商品先物取引業,連結：709人 単独：690人 （2019年3月31日現在）,https://www.toyo-sec.co.jp/,篠田哲志,134億94百万円 （2017年3月31日現在）,1934年 （ 昭和 9年） 4月1日 （廣島證券商事株式会社）,
東洋シヤッター株式会社,金属製品,連結：484人　単独：465人 （2013年3月31日現在）,http://www.toyo-shutter.co.jp/,,"20億2,421万3千円",1946年 （昭和21年） 12月9日 (※),
東洋建設株式会社,建設業,"1,192人（2017年3月期）",https://www.toyo-const.co.jp/,,140億円（2010年3月期）,1929年 （昭和4年） 7月3日,
東洋エンジニアリング株式会社,建設業,"連結 4,085人",https://www.toyo-eng.com/jp/ja/,広瀬俊彦 （元社長） 山田豊 （元社長）,181億9897万円 （ 2016年 3月31日現在）,1944年 （ 昭和 19年） 11月1日 （※） （寿商事株式会社）,〒 100-6511 東京都 千代田区 丸の内 一丁目5番1号
東洋インキSCホールディングス株式会社,化学,"連結8,021名 単独432名 （2017年3月31日現在）",https://schd.toyoinkgroup.com/,,"317億3,349万6,860円（ 2017年 3月 末）",1907年 （ 明治 40年） 1月15日,
東洋製罐グループホールディングス株式会社,金属製品,"連結：18,419名 単体：385名 （2018年3月31日現在）",https://ssl.tskg-hd.com/,高碕達之助 （創業者） 藤井厚雄 （相談役）,"110億9,460万円",1917年 （ 大正 6年） 6月25日 （東洋製罐株式会社）,
東洋水産株式会社,食料品,"連結:4,639人 単独:2,232人 （2018年3月31日現在） [1]",https://www.maruchan.co.jp/index.html,森和夫 （創業者・相談役） 橋本晃明 （元社長） 小畑一雄 （元社長）,189億69百万円 （2018年3月31日現在） [1],1953年 （昭和28年） 3月25日,
株式会社東北銀行,銀行業,単体：584人 連結：669人 （2013年3月31日現在）,https://www.tohoku-bank.co.jp,,132億33百万円 （2013年3月31日現在）,1950年 （昭和25年） 10月7日,
東邦チタニウム株式会社,非鉄金属,連結917名,https://www.toho-titanium.co.jp/,杉内清信 （元社長）,119億63百万円,1953年 8月20日,
株式会社東邦銀行,銀行業,"単体：1,881名 連結：1,895名 （2015年3月31日現在）",http://www.tohobank.co.jp,瀬谷俊雄 （相談役）,235億19百万円 （2015年3月31日現在）,1941年 （昭和16年） 11月4日,
東北電力株式会社,電気・ガス業,"連結：25,058人 単独：12,839人 （2018年3月31日現在） [1]",https://www.tohoku-epco.co.jp/,白洲次郎 （元会長）、 石森令一 （元常務）,"2,514億4,100万円 （2018年3月期） [1]",1951年 5月1日,
東邦瓦斯株式会社,電気・ガス業,"単体2,859名 連結5,818名 （2016年3月31日現在） [1]",https://www.tohogas.co.jp/,福澤桃介 （創立者） 早川敏生 （元代表取締役社長） 水野耕太郎 （元代表取締役社長） 佐伯卓 （元代表取締役社長）,330億7200万円 [1],1922年 （ 大正 11年） 6月26日,
東邦ホールディングス株式会社,卸売業,"連結：7,849名 （2018年3月末現在）",https://www.tohohd.co.jp/,松谷高顕 （元会長） 加藤勝哉 （元社長）,106億49百万円,1948年 9月17日,
東プレ株式会社,金属製品,"連結：4,248名 単独：1,484名 （2019年3月末日現在）",https://www.topre.co.jp/,,56億1千万円（2019年3月末日現在）,1935年 4月30日,
東武鉄道株式会社,陸運業,連結：20347人 単独：3510人 （2019年3月31日現在 [2] ）,http://www.tobu.co.jp/,末延道成 原六郎 浅田正文 初代 根津嘉一郎 2代目 根津嘉一郎 内田隆滋,"1,021億35百万円",1897年 （ 明治 30年） 11月1日,〒 131-8522 東京都墨田区押上一丁目1番2号 （ 東京スカイツリータウン ） [1]
東邦亜鉛株式会社,非鉄金属,"連結：1,089名 単体：664名（2017年3月現在）",http://www.toho-zinc.co.jp/,,"連結：146億3,000万円",1937年 （ 昭和 12年） 2月27日,
TOTO株式会社,ガラス・土石製品,"連結：32,428人 単独：7,960人 （2018年3月31日現在） [1]",https://jp.toto.com/,江副孫右衛門 （元社長） 江副茂 （元社長） 古賀義根 （元社長） 重渕雅敏 （元社長） 木瀬照雄 （元社長）,"355億7,900万円 （2018年3月31日） [1]",1917年 （ 大正 6年） 5月15日 （東洋陶器株式会社）,
株式会社東天紅,小売業,291人,https://www.totenko.co.jp/,,25億7209万2千円,1948年 （昭和23年） 9月7日 (※),
東鉄工業株式会社,建設業,"1,750名（2016年3月31日現在）",http://www.totetsu.co.jp/,,"28億1,000万円",1943年 （昭和18年） 7月7日 （東京鐵道工業株式会社）,
株式会社東祥,サービス業,連結 340名、単独 324名 （2017年3月31日現在） [1],https://www.to-sho.net/,,9億5075万円 [1],1979年 （昭和54年） 3月1日 （東和建設株式会社）,
東芝プラントシステム株式会社,建設業,"連結：4,319名",https://www.toshiba-tpsc.co.jp/,,118億7602万円,1938年 （ 昭和 13年） 10月3日 （三興電気株式会社）,
東芝機械株式会社,機械,"連結：3,346人 単独：1,772人 （2019年3月31日現在）",https://www.toshiba-machine.co.jp/jp/index.html,石坂禄朗,"124億8,400万円",1949年 （ 昭和 24年） 3月18日 （株式会社芝浦機械製作所）,〒 100-8503 東京都 千代田区 内幸町 2丁目2番2号 富国生命ビル4F
株式会社ドウシシャ,卸売業,"連結：1,634名／単体：814名 （2018年3月31日現在）",https://www.doshisha.co.jp/,,49億93百万円 （2018年3月31日現在）,1977年 （ 昭和 52年） 1月24日,日本 〒542-8525 大阪府 大阪市 中央区 東心斎橋一丁目5番5号（大阪本社） 〒108-8573 東京都 港区 高輪2丁目21番46号（東京本社）
東ソー株式会社,化学,"連結 11,594名 単体 3,326名",https://www.tosoh.co.jp/,岩瀬徳三郎 （創業者） 山口敏明 （元社長） 田代圓 （元社長） 土屋隆 （元社長） 宇田川憲一 （元社長）,552億円,1935年 2月11日,〒 746-8501 山口県 周南市 開成町4560番地
株式会社東光高岳,電気機器,連結2552人（2019年3月）,https://www.tktk.co.jp/,,80億円（2015年3月）,2012年10月1日,
東建コーポレーション株式会社,建設業,"連結:6,519名 単独:5,843名 （2017年4月30日現在） [1]",https://www.token.co.jp/,,48億円（2017年4月30日現在） [1],1976年 （ 昭和 51年） 7月17日 創業： 1974年 （昭和49年）9月 （株式会社東名商事）,
東芝テック株式会社,電気機器,"連結：19,980名　単独：3,660名",https://www.toshibatec.co.jp/,,399億70百万円,1950年 （ 昭和 25年） 2月7日 （東京電気器具株式会社）,
株式会社東計電算,情報・通信業,単体741人、連結753人 （2016年12月）,https://www.toukei.co.jp/,,"13億7,015万円",1970年 4月1日,
株式会社 東京楽天地,不動産業,単体51人・連結127人 （2013年1月）,https://www.rakutenchi.co.jp/,小林一三,"30億4,603万円",1937年 （ 昭和 12年） 2月27日,
東京窯業株式会社,ガラス・土石製品,連結816名（2014年3月現在）,http://www.tyk.co.jp/,,23億98百万円,1947年 2月5日,〒 108-0075 東京都 港区 港南 2-16-2 太陽生命品川ビル 10F
東京都競馬株式会社,サービス業,単体60人（2014年12月31日現在）,https://www.tokyotokeiba.co.jp/,,105億8629万円（2014年12月31日現在）,1949年 12月20日,
株式会社TOKYO BASE,小売業,99名（2016年2月末日現在）,http://www.studious.co.jp/,,2億60百万円（2016年2月末日現在）,2008年12月12日,
東京特殊電線株式会社,非鉄金属,連結：889人 単独：209人,https://www.totoku.co.jp/,,"19億2,500万0,009円",1940年 （ 昭和 15年） 11月22日,
株式会社東京ドーム,サービス業,"連結：1,967名 単体：864名 （2019年1月31日現在）",https://www.tokyo-dome.jp/,田邊宗英 眞鍋八千代 田邊七六 小林一三 正力松太郎 渋沢秀雄,20億38百万円,1936年 （昭和11年） 12月25日 （株式会社後楽園スタヂアム）,
株式会社東京デリカ,小売業,401名（2014年10月1日現在）,https://www.sacs-bar.co.jp/,木山茂年 （創業者）,"29億8,600万円",1974年 8月1日,
東宝株式会社,情報・通信業,"単体：360人（2016年2月末日現在） 連結：3,032人（2016年2月末日現在）",https://www.toho.co.jp/,小林一三 渡辺銕蔵 秦豊吉 清水雅 高井英幸 松岡功 （名誉会長）,"103億5,584万7,788円 （2016年5月26日現在）",1932年 （昭和7年） 8月12日 （株式会社東京宝塚劇場）,
東京鐵鋼株式会社,鉄鋼,連結 723名、単体 518名,http://www.tokyotekko.co.jp/,吉原貞敏,58億39百万円,1939年 6月23日,
東京テアトル株式会社,サービス業,連結：518名 単独：145名 （2017年3月31日現在）,https://www.theatres.co.jp/,,"45億5,264万円 （2017年3月31日現在）",1946年 6月28日 （東京興行株式会社）,
東京電力ホールディングス株式会社,電気・ガス業,連結 4万2855人 単独 3万2440人 （2016年3月期） [6],http://www.tepco.co.jp/index-j.html,木川田一隆 平岩外四 立川勇次郎,1兆4009億円 （2016年3月31日現在）,1951年 （ 昭和 26年） 5月1日 [2],
株式会社 東京精密,精密機器,"連結: 1,933名 (2018年3月31日現在)",https://www.accretech.jp/,,"105億6,100万円 (2018年3月31日現在)",1949年 3月,
東京センチュリー株式会社,その他金融業,"連結：3,309人 単体：1,020人",https://www.tokyocentury.co.jp/jp/,,"342億3,100万円",1969年 （ 昭和 44年） 7月1日,
東京製鐵株式会社,鉄鋼,934人（2017年3月31日現在）,http://www.tokyosteel.co.jp/,,308億94百万円,1934年 （ 昭和 9年） 11月23日,
東京製綱株式会社,金属製品,"単独：462名、連結：1,800名 （2015年3月）",https://www.tokyorope.co.jp/,大倉喜八郎 渡部温 渋沢栄一,10億円,1887年 （ 明治 20年） 4月1日,
東京建物株式会社,不動産業,単体422人（2014年12月31日現在）,https://www.tatemono.com/,安田善次郎 畑中誠 （元社長）,924億51百万円 （2014年12月31日現在）,1896年 （ 明治 29年） 10月1日,
株式会社東京放送ホールディングス,情報・通信業,"連結：5,641人、単独：82人 （2016年3月31日現在）",https://www.tbsholdings.co.jp/,武田信二 （取締役会長）,"549億8,689万2,896円 （2016年3月31日現在）",1951年 （ 昭和 26年） 5月17日 （ 株式会社ラジオ東京 ）,
東京産業株式会社,卸売業,350人,https://www.tscom.co.jp/,,34億円,1947年10月20日,
株式会社東京個別指導学院,サービス業,494名（2019年2月28日現在）,https://www.kobetsu.co.jp/,,6億42百万円 (2019年2月期),1994年5月17日（創立1985年8月3日）,
株式会社東京きらぼしフィナンシャルグループ,銀行業,"連結：3,081人 子会社：2,903人 （2019年3月31日現在）",https://www.tokyo-kiraboshifg.co.jp/,,275億円 （2019年3月31日現在）,2014年 （ 平成 26年） 10月1日,
東京計器株式会社,精密機器,"連結1,522名 単独1,175名 （2018年3月31日現在）",https://www.tokyokeiki.jp/,和田嘉衛（創業者） 橋井真,72億1759万円,1948年 12月21日 創業 1896年 5月1日,
株式会社東京機械製作所,機械,"283人(単独), 428人(連結)",https://www.tks-net.co.jp/,,48億9200万円,1916年 （ 大正 5年） 2月15日,
東京瓦斯株式会社,電気・ガス業,"連結 16,708名 単体 7,343名 （2019年3月31日現在）",https://www.tokyo-gas.co.jp/,渋沢栄一 浅野総一郎 安西浩 岡本毅 広瀬道明,1418億44百万円 （2017年3月31日現在）,1885年 （ 明治 18年） 10月1日,
東京応化工業株式会社,化学,"連結:1,505名 単体:1,201名",https://www.tok.co.jp/,,"146億4,044万8千円",1940年 10月25日,
東京エレクトロン デバイス株式会社,卸売業,連結:1202名 （2018年9月30日現在）,https://www.teldevice.co.jp/,,24億9575万円,1986年 （ 昭和 61年） 3月3日 （テル管理サービス株式会社）,
東京エレクトロン株式会社,電気機器,"連結:11,828人  単独:1,393人 （2018年4月25日現在）",https://www.tel.co.jp/,東哲郎 （元社長兼CEO）,549億6119万円,1951年 4月6日 （※） （桜洋行株式会社）,
株式会社 東京エネシス,建設業,"1,191名（2016年3月31日現在）",https://www.qtes.co.jp/,,28億8100万円 （2016年3月31日現在）,1947年 8月14日,
株式会社東京一番フーズ,小売業,連結:176人  単独:172人 （2015年9月30日現在）,https://www.tokyo-ichiban-foods.co.jp/,,4億7702万6千円,1998年 （ 平成 10年） 10月28日 （有限会社東京一番フーズ）,
