Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
株式会社カナモト,サービス業,"連結3,038名 （2018年10月期）",https://www.kanamoto.co.jp/,,136億52百万円 （2018年10月期）,1964年 11月1日,
株式会社カナデン,卸売業,連結778人 単独573人 （2017年3月31日現在）,https://www.kanaden.co.jp/,,55億7625万円,1912年 12月18日,
かどや製油株式会社,食料品,275人（2016年3月31日現在）,http://www.kadoya.com/,,21億60百万円,1957年 （ 昭和 32年） 5月2日 （加登屋製油株式会社）,
株式会社カネカ,化学,"（連結）10,234名 （単独）3,525名 （2018年3月31日現在）",http://www.kaneka.co.jp/,,330億46百万円,1949年 （ 昭和 24年） 9月1日 （鐘淵化学工業株式会社）,〒 530-8288 大阪府 大阪市 北区 中之島 二丁目3番18号
カドカワ株式会社,情報・通信業,連結:4546名 単体:158名 （2019年3月31日現在） [2],https://info.kadokawadwango.co.jp/,角川歴彦 （取締役会長） 佐藤辰男 （初代社長） 川上量生 （前社長）,206億25百万円 [2],2014年 10月1日,
株式会社加藤製作所,機械,"連結：1,203人 単独：882人 （2018年3月31日現在） [1]",http://www.kato-works.co.jp/,,"29億3,589万円 （2018年3月期） [1]",1935年 1月20日,
加藤産業株式会社,卸売業,"1,016名（平成28年9月30日現在）",http://www.katosangyo.co.jp/,,"59億3,405万円",1947年 8月22日,
株式会社KADOKAWA,情報・通信業,連結:4546名 単体:158名 （2019年3月31日現在） [2],https://ir.kadokawa.co.jp/,角川歴彦 （取締役会長） 佐藤辰男 （初代社長） 川上量生 （前社長）,50百万円（2019年7月） [3],1954年 4月2日 （株式会社 角川書店 ）,
カッパ・クリエイト株式会社,小売業,"連結1,150人 （2015年3月末日現在）",http://www.kappa-create.co.jp/,,98億円 （2015年8月31日現在）,1983年 （ 昭和 58年） 8月29日 （ 1973年 （昭和48年）8月創業）,
神奈川中央交通株式会社,陸運業,"単体3,101人、連結7,729人 （2017年3月31日現在）",https://www.kanachu.co.jp/,,31億6千万円,1921年 （ 大正 10年） 6月5日,
株式会社学研ホールディングス,情報・通信業,"連結：3,651名 単独：45名 （2017年9月30日現在）",https://www.gakken.co.jp/,古岡秀人 （創業者）,"183億5,702万3,638円",1947年 （ 昭和 22年） 3月31日,
株式会社カチタス,不動産業,577名（2017年4月1日現在）,https://katitas.jp/,,37億7887万1000円,1978年 （ 昭和 53年） 9月1日,
片倉コープアグリ株式会社,化学,連結：823人　単体：625人 （2019年3月31日現在）,http://www.katakuraco-op.com/,,42億14百万円,1920年 （大正9年） 3月14日 （日支肥料株式会社）,
