Name,产业,員工人數,网站,代表人物,總資產,成立,總部
浪潮集团,服务器 、 计算机 、 存储 、 特种计算机 、 資訊安全产品 、 网络 、 ERP 、 軟體,30000,http://www.inspur.com,孙丕恕 (董事长),,,中国 济南 高新区浪潮路1036号
浙江香飘飘食品有限公司,食品製造業,2000多人,http://www.zjxpp.com/,董事長 ： 蒋建琪,,2005年8月,中国 中国 浙江省 湖州市
海南天然橡胶产业集团股份有限公司,种植业,,http://www.hirub.cn/index1/index.jsp,董事长 ：林进挺,,2005年,中国 海南省 海口市 海垦路13号绿海大厦
洛陽欒川鉬業股份,鉬 業,,http://www.clcmo.com/,董事長 ： 李朝春,,1982年,中國 河南 洛陽 欒川
清华控股有限公司,信息技术 、 能源环保 、 生命科技 、 科技服务 、 知识产业,,http://www.thholding.com.cn,李勇 （副董事长、党委书记）,,2003年,中华人民共和国 北京市
浙商证券股份有限公司,金融业,,,,,2002年 ，​17年前 ​（ 2002 ）,中国 浙江省 杭州市
泰豪集团有限公司,军工 、 电气 、 节能 环保 、 创投,,http://www.tellhow.cn/,,,1988年7月,中国
江苏银行,金融,14046人（2015年12月末）,http://www.jsbchina.cn/,,,2007年1月24日,中国 江苏省 南京市 玄武区 洪武北路55号
洛陽玻璃股份有限公司,玻璃 生產 及 銷售,,http://www.zhglb.com/,董事長 ： 宋建明 總經理 ： 倪植森,,1994年,中国 河南 洛陽
沈阳机床集团有限责任公司,机械制造业,1.8万人,http://www.smtcl.com/,董事长： 关锡友,,1995年12月,沈阳
宁波波导股份有限公司,移动通信,,http://www.chinabird.com/,董事長 ： 徐立华,,1993年,中国 浙江省 宁波市 奉化区 大成东路999号
江苏省广电有线信息网络股份有限公司,媒体业,,http://www.jscnnet.com/,顾汉德 （总裁）,,2008年7月21日,中国 江苏省 南京市 江东中路 222号南京奥体体育科技中心六楼（注册地址） 北京东路 4号江苏广电城25楼（营业地址） [1]
江西銅業股份,銅 業,"34,000人",http://www.jxcc.com/,董事長 ：龙子平,,1979年7月,中國 江西 南昌 昌东大道7666号
永辉集团,零售业,84931人（2017年12月31日）,http://www.yonghui.com.cn/,,,中國 福建 福州市 （1995年）,中國 福建 福州市 西二環中路436號
安徽江淮汽车集团股份有限公司,汽车制造业,,http://www.jac.com.cn/,安进 [1],,1964年,中国 安徽省 合肥市 包河区 东流路 176号 [2]
江苏恒瑞医药,医药,,http://www.hrs.com.cn/,,,1997年,中国 江苏省 连云港
广西桂冠电力股份有限公司,电力生产业,,http://www.ggep.com.cn/,董事长 ：蔡哲夫,,1992年,中国 广西壮族自治区 南宁市 民主路北四里6号
山东步长制药股份有限公司,制药业,"8,004人（2018年） [1]",http://www.buchang.com,赵涛 （董事长）,,1993年8月28日（咸阳步长制药有限公司） 2001年5月12日（上市主体）,中华人民共和国 山东省 菏泽市 中华西路369号
安徽梦舟实业股份有限公司,冶金,,http://web.ahxinke.com/,董事长 ： 张志,,1998年9月28日,中国 安徽省 芜湖市 经济技术开发区珠江路3号
株洲冶炼集团,,,http://www.torchcn.com,,,1956年,湖南省株洲市
杭州银行股份有限公司,金融业,,http://www.hzbank.com.cn,董事长 ：陈震山 行长：宋剑斌,,1996年9月26日,中国 浙江省 杭州市 庆春路46号杭州银行大厦
東方集團股份有限公司,綜合企業,,http://www.china-orient.com/,董事長 ：張宏偉,,1978年,中國 黑龍江 哈爾濱
春兰（集团）公司,家用电器,,http://www.chunlan.com/,陶建幸 （董事长）,,1985年,中国 江苏省 泰州市
上海晨光文具股份有限公司,文具制造,,,陈湖文(CEO),,中国 上海市 奉贤区,中国 上海市 奉贤区
春秋航空,,,https://www.ch.com,,,,
时代出版传媒股份有限公司,传媒,3133人 [1],http://www.press-mart.com/,董事长 ： 王民,,1999年12月12日 [1],中华人民共和国 安徽省 合肥市 蜀山区 翡翠路1118号出版传媒广场
明天科技,,,http://www.tomotech.com,李国春 ( 董事长 ),,1997,中国 包头
方正科技集團股份有限公司,資訊科技,,http://www.foundertech.com/,董事長 ：方中華,,1986年,中國 上海
新華人壽保險股份有限公司,金融 （ 保險 為主）,"57,000人",https://www.newchinalife.com,,,1996年,中國 北京
方正證券股份有限公司,证券投资,,http://www.foundersc.com,董事長： 雷杰 总裁 ：王红舟,,1988年6月6日，前身为浙江省证券公司,中华人民共和国 湖南 长沙市 芙蓉中路 二段华侨国际大厦22—24层
昆药集团股份有限公司,制药业,,http://www.kpc.com.cn,汪思洋（董事长）,,2002年4月8日（注册时间）,中国 云南省 昆明市 高新技术产业开发区 科医路166号
招商證券股份有限公司,證券,,http://www.newone.com.cn,董事長 ：宮少林 [1],,1991年,中国 广东省 深圳市 福田区 益田路 江苏大厦 38-45层
招商局能源運輸股份有限公司,能源 運輸,,http://www.cmenergyshipping.com/,董事長 ： 傅育寧,,2004年,中國 上海
惠而浦,家用电器,"68,000 (2012) [1]",http://www.whirlpoolcorp.com/,杰夫·费迪 ， 董事长 兼 CEO,,1911,"美国 密歇根州 本顿港 （ 英语 ： Benton Charter Township, Michigan ）"
山东新华医疗器械股份有限公司,医疗器械制造业,,http://www.shinva.net/,董事长 ： 赵毅新,,1942年,中国 山东 淄博
上海振华重工(集团)股份有限公司,港口 起重機 製造,,http://cn.zpmc.com/,創始人：管彤贤 [1] 董事長 ：朱连宇 總裁 ：黄庆丰,,1992年,中国 上海市 浦东新区 东方路 3261号
网站类型,,,"http://www.xinhuanet.com/,https://www.wikidata.org/wiki/Q11081577#P856",,,,
復星醫藥,製藥 醫療,,https://www.fosunpharma.com,陈启宇 (主席) 姚方 (CEO),,1994,中华人民共和国
安徽应流机电股份有限公司,专用设备 制造业,3970人 [1],http://www.yingliugroup.com/index.asp,董事长 ： 杜应流,,2000年8月4日 [1],中华人民共和国 安徽省 合肥市 蜀山区 经济技术开发区繁华大道566号
山西广誉远国药有限公司,,,http://www.gyysx.com/,,,1541年,山西省 太谷县 新建路171号
广深铁路股份有限公司,鐵路運輸,,http://www.gsrc.com/,,,1983年12月15日（广深铁路公司） 1996年3月6日（广深铁路股份有限公司）,中国 广东省 深圳市 罗湖区 和平路1052号
广州汽车集团股份有限公司,汽车制造业,,http://www.gagc.com.cn/2009/,董事長 ：张房有,,1997年,中国 广东省 广州市 越秀区 东风中路 448-458号成悦大厦23楼
广州广日股份有限公司,专用设备制造业,,http://www.guangrigroup.com/,董事长 ：潘胜燊,,1989年,中国 广东省 广州市 天河区 华利路59号东塔13层自编1301
廣州白雲山醫藥集團股份有限公司,医药制造业,,http://www.gpc.com.cn,,,1997年,中国 广东省 广州市 沙面北街45号
广州白云山制药股份有限公司,医药制造业,,http://www.gzbys.com/,董事长 ：李楚源,,1992年,中国 广东省 广州市 白云区 同和街 云祥路88号
广州白云国际机场股份有限公司,机场及航空运输辅助业,,http://www.baiyunairport.com,邱嘉臣（董事長）,,2000年9月19日,中国 广东省 广州市 广州白云国际机场南工作区自编一号
山西煤炭进出口集团有限公司,,,http://www.shanxicoal.cn/,,,1980年,中國 山西省 太原市 府西街 36号煤炭进出口大厦
山西焦化集团有限公司,,,http://www.sxjh.com.cn/,,,1969年,中國 山西省 临汾市 洪洞县
鲁商集团,零售业 ， 地产业 ， 制药业 ， 酒店业 ， 教育业 ， 传媒业,15万人（2015年）,http://www.lshjt.com.cn/,董事长：王仁泉 总经理：凌沛学,,,济南市 山师东路4号
山东黄金集团,矿业，金融，房地产,"12,793 (2015)",http://www.sd-gold.com/,李国红 (董事长),,1975年 ，​44年前 ​（ 1975 ）,中国 山东 济南 舜华路2000号舜泰广场3号楼
广州发展集团股份有限公司,电力生产业,,http://www.gdih.cn,,,1996年,中国 广东省 广州市 天河区 临江大道3号28-30楼
安琪酵母股份有限公司,酵母及深加工产品行业90.34%，奶制品行业1.38%，包装行业1.72%，其他行业6.55%,"1,331",http://www.angelyeast.com/,,,1986年,中国 湖北省 宜昌市 城东大道168号 （原中南路24号）
安徽水利开发股份有限公司,建筑业,,http://www.cahsl.com/,董事长 ： 王厚良,,1998年6月,中国 安徽省 蚌埠市 禹会区 东海大道张公山南侧
安徽海螺集团有限责任公司,制造业,,http://www.chinaconch.com/,董事长 ： 高登榜,,1996年9月,中国 安徽省 芜湖市 文化路39号
安徽合力股份有限公司,工程机械,,http://www.helichina.com/,董事長為 張德進 ，以及總裁為 薛白,,1958年,安徽 合肥市 经开区
宁波舟山港（集团）股份有限公司,交通运输业 /仓储和邮政业 水上运输业,,"http://www.portnbzs.com.cn/,http://www.nbport.com.cn/",董事长 ： 毛剑宏 总经理 ： 宫黎明,,2004年4月8日,中华人民共和国 浙江省 宁波市 鄞州区 宁东路269号 宁波环球航运广场
鄭州宇通客車股份有限公司,汽车,,http://www.yutong.com/,汤玉祥,,1963年,中华人民共和国 河南省 鄭州市 管城回族区 宇通路宇通工业园
安徽海螺水泥股份有限公司,水泥 生產 和 銷售,,http://www.conch.cn/,董事长 ： 郭文三,,1997年,中华人民共和国 安徽省 芜湖市
江蘇寧滬高速公路股份有限公司,公路 建造 及 營運,,http://www.jsexpressway.com/,董事長 ：沈長全,,1992年,中國 江蘇 南京
太原重型机械集团有限公司,机械,,http://www.tz.com.cn,,,1950年,中国 山西 太原
天润乳业,,,,,,,新疆乌鲁木齐市经济技术开发区(头屯河区)乌昌公路2702号
三六零安全科技股份有限公司,互联网 、 软件,,https://www.360.com/,徐祚立、石晓虹、姚珏、齐向东、周鸿祎、李湘,,2005年9月,中国 北京 朝阳区 酒仙桥路6号院（电子城国际电子总部）2号楼
重庆太极实业（集团）股份有限公司,医药制造业,13000,http://www.taiji.com/Default.aspx,,,1993年12月28日 ，​25年前 ​（ 1993-12-28 ）,中国 重庆市 渝北区黄泥磅龙塔街道黄龙路38号
